datetime,open,high,low,close,volume
2026-01-22 09:30:00,960.0600,966.2900,960.0600,966.0100,29225
2026-01-22 09:31:00,966.0100,968.2400,964.7300,968.2400,9238
2026-01-22 09:32:00,968.8000,969.3600,965.2900,965.2900,8701
2026-01-22 09:33:00,967.0400,967.0400,963.1100,964.7200,6937
2026-01-22 09:34:00,964.7300,965.5300,963.7300,965.2000,4715
2026-01-22 09:35:00,965.6900,965.9400,962.8700,963.2100,5291
2026-01-22 09:36:00,962.7900,964.8700,961.7200,964.7600,3160
2026-01-22 09:37:00,964.6600,965.9300,961.2600,962.0300,5113
2026-01-22 09:38:00,961.8300,964.2600,961.6700,963.7700,7350
2026-01-22 09:39:00,963.5500,966.5000,963.1300,965.8200,3761
2026-01-22 09:40:00,966.1800,966.2700,965.0000,965.0000,1815
2026-01-22 09:41:00,965.0700,965.8500,963.9700,964.3700,3960
2026-01-22 09:42:00,964.5200,964.5200,961.9900,962.1900,2335
2026-01-22 09:43:00,962.2700,962.9600,960.6200,961.3300,3940
2026-01-22 09:44:00,961.1800,961.1900,959.4800,959.7700,7079
2026-01-22 09:45:00,959.7200,959.7200,956.4400,956.9500,4180
2026-01-22 09:46:00,957.0700,957.8100,956.0900,957.2000,3657
2026-01-22 09:47:00,957.4300,957.9800,955.7000,956.0000,2953
2026-01-22 09:48:00,956.1600,956.1600,954.9600,955.2900,8411
2026-01-22 09:49:00,955.5200,956.3400,954.6000,954.7400,3218
2026-01-22 09:50:00,955.1300,955.1300,953.8000,954.7200,3189
2026-01-22 09:51:00,954.7600,956.8900,954.7600,956.8700,1750
2026-01-22 09:52:00,956.5900,957.8400,956.2400,956.7900,2283
2026-01-22 09:53:00,956.9900,959.5900,956.3600,958.6100,9510
2026-01-22 09:54:00,958.4300,959.2100,958.2800,959.2100,2067
2026-01-22 09:55:00,959.2200,959.8800,958.6900,959.7300,2505
2026-01-22 09:56:00,959.1100,960.0300,958.4700,959.7500,4629
2026-01-22 09:57:00,959.3800,959.6900,958.3300,958.9000,3387
2026-01-22 09:58:00,958.8900,959.6600,958.2000,958.5400,2416
2026-01-22 09:59:00,958.1700,958.7700,958.0100,958.3300,1775
2026-01-22 10:00:00,958.6400,960.0800,958.2100,959.6900,6389
2026-01-22 10:01:00,959.7900,959.7900,958.0000,958.5100,2100
2026-01-22 10:02:00,958.5100,959.7400,958.3900,958.6700,3964
2026-01-22 10:03:00,958.4300,958.6800,957.3600,958.1700,6863
2026-01-22 10:04:00,958.3300,958.9200,957.4500,958.5900,5956
2026-01-22 10:05:00,958.5900,958.8300,957.3400,958.0900,2103
2026-01-22 10:06:00,958.5100,958.7000,957.4700,958.7000,2041
2026-01-22 10:07:00,958.7300,958.9900,957.9300,958.5200,2185
2026-01-22 10:08:00,958.4100,959.3000,958.2200,959.3000,1834
2026-01-22 10:09:00,959.1200,959.1200,958.1900,958.6400,1460
2026-01-22 10:10:00,958.8400,958.8400,957.6900,958.0900,3953
2026-01-22 10:11:00,958.0900,958.3600,956.7700,957.7200,4907
2026-01-22 10:12:00,957.5300,958.4100,957.3700,958.4100,3016
2026-01-22 10:13:00,958.6000,959.0100,958.3900,959.0100,2286
2026-01-22 10:14:00,958.6700,959.4000,958.5700,959.2500,3170
2026-01-22 10:15:00,959.2500,961.3500,959.2500,961.1200,3850
2026-01-22 10:16:00,960.9000,962.4100,960.9000,962.3700,2068
2026-01-22 10:17:00,962.0000,962.2000,960.7200,961.2300,2854
2026-01-22 10:18:00,961.1500,961.8200,960.5300,961.2300,1291
2026-01-22 10:19:00,961.2300,961.8600,960.5000,961.4300,2013
2026-01-22 10:20:00,961.4400,962.7100,961.4300,961.9500,2503
2026-01-22 10:21:00,962.4100,962.5600,961.1600,961.4600,3021
2026-01-22 10:22:00,961.4300,961.6300,960.2600,961.3200,1744
2026-01-22 10:23:00,961.1600,962.1400,960.7200,961.5500,1608
2026-01-22 10:24:00,961.0600,961.0600,959.3400,960.4000,3373
2026-01-22 10:25:00,960.1500,960.6800,959.2300,960.2800,2364
2026-01-22 10:26:00,960.2800,961.6600,960.0100,961.6600,2300
2026-01-22 10:27:00,961.3200,961.5000,960.6900,961.5000,2072
2026-01-22 10:28:00,961.3100,961.5100,960.8100,961.2300,1172
2026-01-22 10:29:00,961.3000,961.6600,960.7200,961.6600,520
2026-01-22 10:30:00,961.2300,961.6800,960.3200,961.4200,1268
2026-01-22 10:31:00,961.8600,961.8900,960.9300,961.1500,812
2026-01-22 10:32:00,961.3900,961.6800,961.1200,961.6800,757
2026-01-22 10:33:00,961.6700,961.6700,960.7200,960.9800,1561
2026-01-22 10:34:00,961.0500,961.6500,961.0500,961.5100,1575
2026-01-22 10:35:00,961.7000,962.1100,961.6900,962.0000,1964
2026-01-22 10:36:00,962.0100,962.1400,961.5700,962.1400,801
2026-01-22 10:37:00,961.6000,962.6200,961.6000,962.3400,1611
2026-01-22 10:38:00,962.4400,962.8800,961.9800,962.1100,715
2026-01-22 10:39:00,962.0200,962.5500,961.3200,962.0000,1840
2026-01-22 10:40:00,962.0100,962.0100,960.8800,961.3700,1210
2026-01-22 10:41:00,961.4400,961.7100,961.0000,961.0500,2089
2026-01-22 10:42:00,961.0000,961.0300,959.8800,960.6100,2405
2026-01-22 10:43:00,960.4000,960.6400,959.7600,959.7600,1027
2026-01-22 10:44:00,960.0400,960.5100,959.6100,960.5100,1453
2026-01-22 10:45:00,960.5400,960.8200,960.4600,960.6000,873
2026-01-22 10:46:00,960.3800,960.9200,960.3700,960.7600,533
2026-01-22 10:47:00,960.2800,960.9600,960.2800,960.8400,1244
2026-01-22 10:48:00,960.8400,961.0300,960.0600,960.0600,1379
2026-01-22 10:49:00,959.8700,960.5300,959.0400,960.5200,2981
2026-01-22 10:50:00,960.1600,960.8500,960.1600,960.8500,696
2026-01-22 10:51:00,960.8100,961.5400,960.5700,961.3800,752
2026-01-22 10:52:00,961.7200,961.9000,961.6000,961.9000,240
2026-01-22 10:53:00,961.6700,962.1800,961.4700,962.1400,732
2026-01-22 10:54:00,962.1600,962.3200,961.7900,961.7900,1509
2026-01-22 10:55:00,961.8000,962.3900,961.7900,962.1900,1565
2026-01-22 10:56:00,962.2500,962.2500,961.3900,961.5700,1878
2026-01-22 10:57:00,961.7400,961.7400,961.3900,961.6500,562
2026-01-22 10:58:00,961.6500,961.6500,960.3200,960.9600,2447
2026-01-22 10:59:00,961.1200,961.1800,960.4800,960.4800,1015
2026-01-22 11:00:00,960.4500,961.1500,960.2300,960.7100,1637
2026-01-22 11:01:00,960.6900,962.1500,960.3700,961.5200,6128
2026-01-22 11:02:00,962.0100,962.1100,961.3400,961.9300,1897
2026-01-22 11:03:00,961.9300,961.9800,961.0600,961.9800,2226
2026-01-22 11:04:00,962.1300,962.5500,962.1300,962.1500,685
2026-01-22 11:05:00,962.3700,962.3700,961.9500,962.2000,1378
2026-01-22 11:06:00,962.2000,962.6200,962.1900,962.4100,2798
2026-01-22 11:07:00,962.4100,962.7000,962.0700,962.1700,7580
2026-01-22 11:08:00,962.4300,962.6200,962.1500,962.6200,2740
2026-01-22 11:09:00,962.6300,962.8100,962.1500,962.2000,4696
2026-01-22 11:10:00,962.2000,963.4600,962.2000,963.3800,1467
2026-01-22 11:11:00,963.2700,964.0900,963.0700,964.0800,3619
2026-01-22 11:12:00,963.6100,964.6500,963.6100,964.4100,1916
2026-01-22 11:13:00,964.5100,964.6300,963.9900,964.0000,2128
2026-01-22 11:14:00,964.5000,964.5000,963.8900,963.9200,2555
2026-01-22 11:15:00,963.9600,964.0800,963.3800,963.6600,2472
2026-01-22 11:16:00,963.5700,963.5800,962.1700,962.6500,1547
2026-01-22 11:17:00,963.0000,963.0000,962.5200,962.6300,635
2026-01-22 11:18:00,962.8600,963.6600,962.6000,963.6600,1661
2026-01-22 11:19:00,963.6000,963.7400,963.3000,963.5100,1520
2026-01-22 11:20:00,963.9400,964.7300,963.9400,964.1200,1703
2026-01-22 11:21:00,964.2100,964.2100,962.9200,963.4300,1236
2026-01-22 11:22:00,963.7300,963.7300,962.8100,963.2500,770
2026-01-22 11:23:00,963.0000,963.4900,962.8600,963.3600,940
2026-01-22 11:24:00,963.3100,963.3600,962.8000,963.0900,2049
2026-01-22 11:25:00,963.0000,963.3400,962.9800,963.0500,1884
2026-01-22 11:26:00,962.9900,963.6800,962.3900,962.3900,1860
2026-01-22 11:27:00,963.2900,963.8200,963.2800,963.6300,772
2026-01-22 11:28:00,963.6300,963.6400,963.1600,963.1700,700
2026-01-22 11:29:00,963.5000,963.8200,962.9400,963.5400,2469
2026-01-22 11:30:00,963.9400,964.4200,963.4600,963.4700,1358
2026-01-22 11:31:00,963.9800,964.4800,963.9000,964.4800,1046
2026-01-22 11:32:00,964.7500,965.1800,964.5200,965.1800,2186
2026-01-22 11:33:00,965.5300,965.6300,965.0200,965.2000,3459
2026-01-22 11:34:00,965.5700,965.5700,965.1800,965.2100,700
2026-01-22 11:35:00,965.2000,965.6100,964.9900,965.6100,851
2026-01-22 11:36:00,965.3700,965.7300,965.3300,965.4800,2012
2026-01-22 11:37:00,965.6300,966.1400,965.4100,965.8600,1305
2026-01-22 11:38:00,966.1000,966.1000,965.5800,965.5800,1403
2026-01-22 11:39:00,965.5200,965.6300,965.2000,965.2100,616
2026-01-22 11:40:00,965.1700,965.3500,964.7300,965.0500,1315
2026-01-22 11:41:00,964.6900,965.8200,964.6900,965.6700,876
2026-01-22 11:42:00,965.4200,965.6100,965.1300,965.5400,2312
2026-01-22 11:43:00,965.3300,965.6500,964.9400,965.2500,959
2026-01-22 11:44:00,965.6500,966.0100,965.2100,965.9900,1987
2026-01-22 11:45:00,966.0900,966.4300,966.0800,966.4200,837
2026-01-22 11:46:00,966.3900,966.8500,966.3900,966.6400,626
2026-01-22 11:47:00,966.6700,967.1900,966.6700,967.0100,1895
2026-01-22 11:48:00,966.8900,966.9000,966.5800,966.5800,680
2026-01-22 11:49:00,966.6300,966.8500,966.1800,966.2700,430
2026-01-22 11:50:00,966.1200,966.1200,965.4300,965.8500,980
2026-01-22 11:51:00,966.3000,966.3000,965.7600,966.0300,1528
2026-01-22 11:52:00,966.2800,966.4800,965.7500,966.1900,679
2026-01-22 11:53:00,966.1900,966.2800,965.9400,966.2500,605
