datetime,open,high,low,close,volume
2025-09-15 09:30:00,175.6900,176.3300,175.4600,176.0900,31886
2025-09-15 09:31:00,176.1500,176.5200,175.4600,175.5400,31165
2025-09-15 09:32:00,175.5900,175.7400,175.0750,175.5100,24250
2025-09-15 09:33:00,175.4950,175.5300,174.5200,174.6000,44292
2025-09-15 09:34:00,174.6150,175.3200,174.5500,175.3200,20051
2025-09-15 09:35:00,175.2100,175.2800,174.8850,174.8850,14698
2025-09-15 09:36:00,174.8300,175.1450,174.7900,174.8000,17022
2025-09-15 09:37:00,174.8300,175.2400,174.7200,175.1500,12048
2025-09-15 09:38:00,175.0900,175.3150,174.9800,175.2750,14171
2025-09-15 09:39:00,175.2200,175.5100,175.2200,175.4800,28881
2025-09-15 09:40:00,175.4100,176.0000,175.4100,175.9200,28276
2025-09-15 09:41:00,175.9700,176.0700,175.7100,175.8700,13928
2025-09-15 09:42:00,175.8600,175.9600,175.7700,175.9300,24033
2025-09-15 09:43:00,175.9200,176.0000,175.7750,175.8000,7927
2025-09-15 09:44:00,175.8200,175.9050,175.5700,175.6300,8856
2025-09-15 09:45:00,175.6400,175.8750,175.6400,175.7500,16513
2025-09-15 09:46:00,175.7500,175.7900,175.4800,175.6900,19905
2025-09-15 09:47:00,175.7000,175.7150,175.4550,175.6300,23653
2025-09-15 09:48:00,175.5400,175.7800,175.5200,175.7600,6564
2025-09-15 09:49:00,175.7850,175.9150,175.7700,175.9000,11298
2025-09-15 09:50:00,175.8950,176.1350,175.8500,176.0550,10052
2025-09-15 09:51:00,176.0800,176.2800,176.0600,176.2700,15426
2025-09-15 09:52:00,176.2100,176.2700,176.0000,176.0250,10336
2025-09-15 09:53:00,176.0250,176.1300,176.0150,176.0700,15257
2025-09-15 09:54:00,176.0800,176.2400,176.0700,176.1700,18264
2025-09-15 09:55:00,176.1850,176.2300,176.0700,176.0950,11042
2025-09-15 09:56:00,176.1200,176.2100,175.8550,175.8550,13288
2025-09-15 09:57:00,175.8100,175.8200,175.7000,175.7050,23374
2025-09-15 09:58:00,175.7050,175.8800,175.7050,175.8600,7736
2025-09-15 09:59:00,175.8350,175.9350,175.8250,175.8500,13254
2025-09-15 10:00:00,175.8400,176.1400,175.8400,175.9700,18197
2025-09-15 10:01:00,175.9300,175.9350,175.7900,175.7900,13006
2025-09-15 10:02:00,175.7800,175.8350,175.4900,175.5400,10477
2025-09-15 10:03:00,175.5300,175.6150,175.4600,175.4650,10925
2025-09-15 10:04:00,175.4450,175.5700,175.4450,175.5700,6007
2025-09-15 10:05:00,175.6100,175.6100,175.3150,175.3850,21336
2025-09-15 10:06:00,175.4250,175.4800,175.3250,175.3650,15345
2025-09-15 10:07:00,175.3800,175.5300,175.2450,175.2600,12957
2025-09-15 10:08:00,175.2400,175.3000,175.1800,175.2300,9224
2025-09-15 10:09:00,175.2250,175.3400,175.0400,175.0400,7062
2025-09-15 10:10:00,175.0250,175.0400,174.8400,174.9800,37931
2025-09-15 10:11:00,174.9800,174.9800,174.6350,174.6550,14652
2025-09-15 10:12:00,174.6100,174.8700,174.5800,174.7100,15486
2025-09-15 10:13:00,174.7300,174.8750,174.7050,174.8750,13119
2025-09-15 10:14:00,174.8750,175.1050,174.8650,175.1050,18853
2025-09-15 10:15:00,175.1050,175.1400,175.0750,175.1200,15779
2025-09-15 10:16:00,175.1450,175.3100,175.1300,175.2850,11676
2025-09-15 10:17:00,175.2800,175.3500,175.1950,175.2450,11547
2025-09-15 10:18:00,175.2550,175.4700,175.2500,175.4350,14902
2025-09-15 10:19:00,175.3950,175.4800,175.3400,175.4800,12915
2025-09-15 10:20:00,175.4550,175.4850,175.2850,175.3700,8325
2025-09-15 10:21:00,175.3900,175.4250,175.3050,175.3600,9326
2025-09-15 10:22:00,175.3650,175.4450,175.3500,175.4050,4521
2025-09-15 10:23:00,175.4350,175.4450,175.3000,175.4450,6876
2025-09-15 10:24:00,175.4500,175.4650,175.1900,175.2700,7172
2025-09-15 10:25:00,175.2500,175.5150,175.2350,175.5150,8767
2025-09-15 10:26:00,175.5200,175.5800,175.4500,175.5550,8187
2025-09-15 10:27:00,175.5550,175.6250,175.5550,175.6100,5338
