datetime,open,high,low,close,volume
2025-09-15 09:30:00,304.3750,305.4400,301.2200,305.1800,7672
2025-09-15 09:31:00,304.8900,304.8900,302.8800,303.2000,9404
2025-09-15 09:32:00,302.9200,305.1300,302.9200,304.7700,8282
2025-09-15 09:33:00,304.3900,305.3400,304.2900,304.2900,4671
2025-09-15 09:34:00,303.3200,303.3200,302.5950,302.9900,3661
2025-09-15 09:35:00,303.3100,304.9200,303.3100,304.6850,4263
2025-09-15 09:36:00,303.6400,304.3050,303.0800,304.1900,4094
2025-09-15 09:37:00,303.7150,304.4300,303.7150,304.0000,1501
2025-09-15 09:38:00,304.2300,304.4150,303.8000,304.0500,4464
2025-09-15 09:39:00,304.4400,305.5000,303.8600,304.2400,13269
2025-09-15 09:40:00,304.5500,305.6900,304.5500,305.0000,9874
2025-09-15 09:41:00,305.1100,306.2400,305.1100,305.5850,3265
2025-09-15 09:42:00,306.2400,306.3400,305.9200,305.9900,5317
2025-09-15 09:43:00,305.8100,306.9900,305.8100,306.6400,3777
2025-09-15 09:44:00,306.9000,306.9800,305.1450,305.6100,7194
2025-09-15 09:45:00,305.7200,306.1800,305.0000,305.2800,4989
2025-09-15 09:46:00,305.2200,305.9700,305.2200,305.8450,3013
2025-09-15 09:47:00,305.4800,305.8300,305.4800,305.8150,2181
2025-09-15 09:48:00,305.4000,305.5300,305.0000,305.2800,2250
2025-09-15 09:49:00,305.7600,306.3500,305.7600,306.3500,1442
2025-09-15 09:50:00,306.2750,306.3250,305.2300,305.4000,2232
2025-09-15 09:51:00,305.4500,305.4500,304.6400,305.0950,2282
2025-09-15 09:52:00,305.0900,305.7700,304.9100,304.9400,2354
2025-09-15 09:53:00,304.8600,304.9800,304.4750,304.9800,1325
2025-09-15 09:54:00,304.9200,304.9200,304.4700,304.4700,677
2025-09-15 09:55:00,304.6100,304.6100,303.9750,304.0000,3249
2025-09-15 09:56:00,303.9700,304.5500,303.9000,304.5400,2682
2025-09-15 09:57:00,304.3600,304.5900,304.1800,304.3500,1719
2025-09-15 09:58:00,304.4100,304.8850,304.4100,304.7350,1982
2025-09-15 09:59:00,304.0000,304.3000,303.9000,303.9950,3236
2025-09-15 10:00:00,303.9400,303.9400,302.1600,302.2450,3055
2025-09-15 10:01:00,302.2600,304.0350,302.2000,304.0350,4565
2025-09-15 10:02:00,304.0600,304.3700,303.6050,303.6400,3776
2025-09-15 10:03:00,303.6500,304.2200,303.6450,303.9850,2524
2025-09-15 10:04:00,304.0600,304.2150,304.0250,304.1300,2076
2025-09-15 10:05:00,304.2800,305.1450,304.2800,305.0300,3056
2025-09-15 10:06:00,304.9050,305.0100,304.4300,304.4300,1878
2025-09-15 10:07:00,304.2100,304.3900,304.1800,304.1800,1065
2025-09-15 10:08:00,304.1850,304.6300,304.1200,304.5200,1135
2025-09-15 10:09:00,304.2300,304.2300,302.1850,302.1850,5025
2025-09-15 10:10:00,302.3800,302.8500,302.3800,302.8500,3967
2025-09-15 10:11:00,302.6950,302.7900,302.2250,302.4400,1632
2025-09-15 10:12:00,302.7400,303.2750,302.7400,303.0400,1713
2025-09-15 10:13:00,302.8800,302.8800,302.5800,302.6800,1617
2025-09-15 10:14:00,302.7200,302.7200,302.5700,302.6850,1638
2025-09-15 10:15:00,302.8700,302.9900,302.8700,302.9900,349
2025-09-15 10:16:00,303.1750,303.4000,302.9900,302.9900,1273
2025-09-15 10:17:00,303.1450,303.1600,302.9500,303.0400,862
2025-09-15 10:18:00,302.9500,303.4700,302.9100,303.4700,976
2025-09-15 10:19:00,303.3900,303.3900,302.6100,303.0150,3269
2025-09-15 10:20:00,303.0250,303.3500,302.6700,303.0550,8240
2025-09-15 10:21:00,303.0550,303.4500,302.7400,303.4300,10639
2025-09-15 10:22:00,303.6600,303.7400,303.1900,303.1900,1008
2025-09-15 10:23:00,302.7000,302.7000,302.5600,302.5900,1182
2025-09-15 10:24:00,302.5700,302.5900,301.7000,301.9300,1569
2025-09-15 10:25:00,302.0450,302.8450,301.9900,302.1400,8183
2025-09-15 10:26:00,301.7100,301.9300,301.4200,301.8800,2276
2025-09-15 10:27:00,302.4200,302.4200,302.0000,302.1700,1259
2025-09-15 10:28:00,302.0000,302.0000,301.1300,301.4000,1050
2025-09-15 10:29:00,301.7200,301.7200,301.1500,301.1500,3495
2025-09-15 10:30:00,301.0400,301.2500,300.6700,300.9300,18430
2025-09-15 10:31:00,300.7350,301.4150,300.3800,301.4150,6151
2025-09-15 10:32:00,301.2250,301.2250,300.5000,300.5000,5031
2025-09-15 10:33:00,300.4600,300.7700,300.0800,300.7700,6261
