datetime,open,high,low,close,volume
2025-09-15 09:30:00,588.4550,588.8100,588.3100,588.7600,4480
2025-09-15 09:31:00,588.7300,588.9800,588.7300,588.9550,3664
2025-09-15 09:32:00,589.0750,589.2400,588.9400,589.1600,3317
2025-09-15 09:33:00,589.1650,589.1650,588.9600,588.9600,1418
2025-09-15 09:34:00,588.7400,589.0500,588.7400,588.9600,1861
2025-09-15 09:35:00,589.0600,589.1500,589.0600,589.1400,797
2025-09-15 09:36:00,589.1100,589.1100,589.0100,589.0100,1151
2025-09-15 09:37:00,588.9600,589.2750,588.9600,589.2750,2325
2025-09-15 09:38:00,589.2900,589.5000,589.2200,589.4500,1816
2025-09-15 09:39:00,589.5100,589.5900,589.3100,589.3200,5473
2025-09-15 09:40:00,589.3400,589.5300,589.3400,589.5300,1987
2025-09-15 09:41:00,589.5650,589.6300,589.5200,589.5200,1436
2025-09-15 09:42:00,589.5400,589.5400,589.3200,589.3200,1029
2025-09-15 09:43:00,589.3200,589.3200,589.1600,589.2900,1497
2025-09-15 09:44:00,589.1900,589.1900,588.9900,589.0500,1897
2025-09-15 09:45:00,589.1500,589.4000,589.1500,589.3400,1949
2025-09-15 09:46:00,589.3300,589.4800,589.3000,589.4800,2720
2025-09-15 09:47:00,589.4700,589.4700,589.3100,589.3600,1990
2025-09-15 09:48:00,589.3800,589.4250,589.3050,589.3700,2890
2025-09-15 09:49:00,589.6600,589.6900,589.6150,589.6550,2834
2025-09-15 09:50:00,589.6850,589.8050,589.6450,589.8050,4127
2025-09-15 09:51:00,589.9500,590.1850,589.9450,590.1300,5647
2025-09-15 09:52:00,590.1900,590.1900,589.9500,589.9600,1940
2025-09-15 09:53:00,589.9450,590.0700,589.9450,589.9650,3682
2025-09-15 09:54:00,589.9800,590.1100,589.9800,590.1100,3771
2025-09-15 09:55:00,590.0750,590.1400,589.9400,589.9400,2012
2025-09-15 09:56:00,589.9600,590.1200,589.9600,590.0000,2018
2025-09-15 09:57:00,589.9950,590.2950,589.9900,590.2000,3434
2025-09-15 09:58:00,590.1950,590.2900,590.1950,590.2800,2077
2025-09-15 09:59:00,590.3500,590.4500,590.3300,590.4400,1890
2025-09-15 10:00:00,590.4600,590.5300,590.3900,590.4400,4429
2025-09-15 10:01:00,590.3650,590.3950,590.3050,590.3400,3882
2025-09-15 10:02:00,590.3250,590.4600,590.2200,590.2200,1492
2025-09-15 10:03:00,590.2900,590.3000,590.2450,590.2500,1266
2025-09-15 10:04:00,590.1950,590.2550,590.1700,590.2550,1836
2025-09-15 10:05:00,590.2900,590.2900,590.0900,590.0900,1197
2025-09-15 10:06:00,590.1750,590.3350,590.1750,590.2800,1503
2025-09-15 10:07:00,590.3050,590.4600,590.2400,590.3700,3127
2025-09-15 10:08:00,590.4000,590.4550,590.4000,590.4250,894
2025-09-15 10:09:00,590.3900,590.3900,590.2100,590.2600,1404
2025-09-15 10:10:00,590.1400,590.2600,590.1400,590.2600,1429
2025-09-15 10:11:00,590.2100,590.2100,590.0400,590.1500,672
2025-09-15 10:12:00,590.0800,590.0900,590.0500,590.0500,646
2025-09-15 10:13:00,590.0200,590.0200,589.9000,589.9000,932
2025-09-15 10:14:00,589.9550,590.1200,589.9550,590.1200,1283
