datetime,open,high,low,close,volume
2026-01-22 09:30:00,198.9900,198.9900,197.6200,197.6200,61962
2026-01-22 09:31:00,197.7600,198.0600,197.3500,197.8000,6501
2026-01-22 09:32:00,197.8700,198.1300,197.5600,197.6300,3202
2026-01-22 09:33:00,197.6300,197.6800,197.0600,197.6800,17365
2026-01-22 09:34:00,197.4100,197.7800,197.0000,197.0000,5791
2026-01-22 09:35:00,197.2700,197.2700,196.2700,196.5100,8330
2026-01-22 09:36:00,196.7500,196.7700,196.4500,196.7700,2902
2026-01-22 09:37:00,196.8000,196.8000,196.1300,196.2800,8464
2026-01-22 09:38:00,196.2700,197.2700,196.2700,197.0700,12910
2026-01-22 09:39:00,197.1200,197.5500,197.0000,197.4700,5499
2026-01-22 09:40:00,197.4900,197.5900,197.0000,197.2500,6224
2026-01-22 09:41:00,197.2200,197.2200,196.9600,197.0000,3882
2026-01-22 09:42:00,196.9200,197.0000,196.6400,196.7700,4871
2026-01-22 09:43:00,196.7100,196.9300,196.5000,196.7400,7692
2026-01-22 09:44:00,196.7600,197.0900,196.7600,197.0900,3284
2026-01-22 09:45:00,197.1300,197.1800,196.7300,196.7600,6383
2026-01-22 09:46:00,196.8100,196.8100,196.6000,196.7500,1200
2026-01-22 09:47:00,196.8700,197.1300,196.8400,197.0300,7081
2026-01-22 09:48:00,197.0300,197.3200,196.8200,197.2600,8569
2026-01-22 09:49:00,197.2600,197.3300,197.0400,197.3300,8036
2026-01-22 09:50:00,197.2600,197.6100,197.2600,197.5000,2437
2026-01-22 09:51:00,197.6000,197.6500,197.3800,197.5000,8201
2026-01-22 09:52:00,197.4900,197.5500,197.2700,197.2800,3692
2026-01-22 09:53:00,197.2100,197.5500,197.2000,197.5500,4476
2026-01-22 09:54:00,197.4100,197.7000,197.3500,197.6500,3501
2026-01-22 09:55:00,197.6100,197.7500,197.5200,197.7500,6875
2026-01-22 09:56:00,197.7300,197.7300,197.4600,197.4700,5036
2026-01-22 09:57:00,197.4100,197.4400,197.0100,197.2100,4912
2026-01-22 09:58:00,197.1600,197.1800,197.0000,197.0600,6129
2026-01-22 09:59:00,197.0100,197.1200,196.9100,197.0300,6417
2026-01-22 10:00:00,197.1500,197.1600,196.6300,196.7700,12183
2026-01-22 10:01:00,196.7600,196.9100,196.7000,196.8100,4637
2026-01-22 10:02:00,196.7900,196.8900,196.5600,196.8900,15127
2026-01-22 10:03:00,196.8800,196.8800,196.6900,196.7900,3003
2026-01-22 10:04:00,196.7700,196.9500,196.7100,196.9300,4010
