datetime,open,high,low,close,volume
2026-01-22 09:30:00,408.1800,408.7300,407.1200,407.1200,102297
2026-01-22 09:31:00,407.2400,407.8000,406.8800,406.9000,16060
2026-01-22 09:32:00,407.0100,407.4600,406.6700,407.4200,16787
2026-01-22 09:33:00,407.4200,407.5000,406.2900,406.3900,38405
2026-01-22 09:34:00,406.4500,406.5900,405.5700,405.6400,29691
2026-01-22 09:35:00,405.5300,405.6700,404.5800,404.9000,122884
2026-01-22 09:36:00,404.9800,405.6200,404.6600,405.0400,30051
2026-01-22 09:37:00,404.9900,405.5100,404.5900,405.3600,25979
2026-01-22 09:38:00,405.3600,405.5600,404.8800,405.2500,23220
2026-01-22 09:39:00,405.2600,406.3700,405.2600,405.9700,20220
2026-01-22 09:40:00,406.0000,406.2400,405.6800,405.7500,24053
2026-01-22 09:41:00,405.7700,405.9800,404.4000,404.4000,42188
2026-01-22 09:42:00,404.4000,404.4000,403.4500,403.5000,32180
2026-01-22 09:43:00,403.5600,404.0400,402.7700,404.0400,37854
2026-01-22 09:44:00,404.1200,404.2600,403.5500,403.7600,34009
2026-01-22 09:45:00,403.7700,404.1500,403.5500,403.6100,24904
2026-01-22 09:46:00,403.5200,403.5200,402.8200,403.0700,18820
2026-01-22 09:47:00,403.0400,403.3400,402.6100,402.9400,10297
2026-01-22 09:48:00,402.8300,402.9100,402.4500,402.8300,15142
2026-01-22 09:49:00,402.8000,402.9700,402.2000,402.9200,35915
2026-01-22 09:50:00,402.8100,403.2200,402.4500,402.8400,20132
2026-01-22 09:51:00,402.8800,404.2700,402.8700,404.0300,19602
2026-01-22 09:52:00,404.0000,404.8200,403.8900,404.5100,27098
2026-01-22 09:53:00,404.6800,404.7900,404.1800,404.6900,10495
2026-01-22 09:54:00,404.6400,405.0500,404.6200,404.9000,8885
2026-01-22 09:55:00,404.8400,405.0400,404.2200,404.3200,24405
2026-01-22 09:56:00,404.2500,404.5500,403.9700,404.2200,9257
2026-01-22 09:57:00,404.1800,404.2100,403.7100,403.7800,7322
2026-01-22 09:58:00,403.7500,403.8300,403.2300,403.3600,17589
2026-01-22 09:59:00,403.3200,403.5600,403.1100,403.3000,11786
2026-01-22 10:00:00,403.3500,403.3500,402.2800,402.4700,14872
2026-01-22 10:01:00,402.6000,402.7900,402.2900,402.3400,20753
2026-01-22 10:02:00,402.3200,402.4700,402.0600,402.2100,11540
2026-01-22 10:03:00,402.0800,402.1700,401.7700,402.1200,16620
2026-01-22 10:04:00,402.1100,402.2700,401.5700,401.9300,16576
2026-01-22 10:05:00,401.7600,402.3300,401.7300,401.8300,12266
2026-01-22 10:06:00,401.9700,402.3700,401.8100,402.3700,11212
2026-01-22 10:07:00,402.2400,402.6400,402.0600,402.1300,16092
2026-01-22 10:08:00,402.1900,402.8800,402.1900,402.8100,10069
2026-01-22 10:09:00,402.8700,402.8800,402.3400,402.4000,15746
2026-01-22 10:10:00,402.4300,403.0000,402.1800,402.7200,8846
2026-01-22 10:11:00,402.8000,403.0000,402.5000,402.8600,8157
2026-01-22 10:12:00,402.7700,402.8400,402.4800,402.7700,7126
2026-01-22 10:13:00,402.7000,402.8700,402.4600,402.8300,9514
2026-01-22 10:14:00,402.7900,403.0100,402.2400,402.5400,35896
2026-01-22 10:15:00,402.6500,403.1800,402.5500,403.1500,13136
2026-01-22 10:16:00,403.2300,403.6200,403.0700,403.4000,12009
2026-01-22 10:17:00,403.3300,403.3300,402.2000,402.3500,17702
2026-01-22 10:18:00,402.2800,402.6900,402.2300,402.4900,9355
2026-01-22 10:19:00,402.6100,402.8800,402.3400,402.8600,5304
2026-01-22 10:20:00,402.8100,403.3000,402.5400,403.1900,7120
2026-01-22 10:21:00,403.2200,403.4900,402.9800,403.4900,5546
2026-01-22 10:22:00,403.4500,403.6100,403.0300,403.5800,9757
2026-01-22 10:23:00,403.6900,403.8200,403.4500,403.4500,6387
2026-01-22 10:24:00,403.4100,403.4100,402.4100,402.4500,11577
2026-01-22 10:25:00,402.3300,402.7100,402.3100,402.6900,5975
2026-01-22 10:26:00,402.7900,403.5100,402.7900,403.4600,12526
2026-01-22 10:27:00,403.3900,403.3900,403.0900,403.3000,10071
2026-01-22 10:28:00,403.2200,403.4400,403.0800,403.2500,6865
