datetime,open,high,low,close,volume
2026-01-22 09:30:00,689.8500,689.9700,689.4400,689.8200,823588
2026-01-22 09:31:00,689.8100,690.1500,689.7700,690.0900,650196
2026-01-22 09:32:00,690.0900,690.3600,690.0800,690.2800,468856
2026-01-22 09:33:00,690.2800,690.3400,689.9400,690.0500,463654
2026-01-22 09:34:00,690.0500,690.1900,689.8900,689.9400,343971
2026-01-22 09:35:00,689.9400,690.1200,689.5200,689.7700,482931
2026-01-22 09:36:00,689.7900,689.8100,689.6000,689.6500,502978
2026-01-22 09:37:00,689.6500,690.1500,689.6200,690.1500,402007
2026-01-22 09:38:00,690.1600,690.2800,690.0800,690.1600,385738
2026-01-22 09:39:00,690.1700,690.5300,690.1600,690.3400,374070
2026-01-22 09:40:00,690.3400,690.6300,690.3400,690.4900,361226
2026-01-22 09:41:00,690.4900,690.6700,690.2400,690.2800,337993
2026-01-22 09:42:00,690.2700,690.3000,689.7600,689.7800,363612
2026-01-22 09:43:00,689.7800,689.9000,688.9200,689.3400,639573
2026-01-22 09:44:00,689.3400,689.5300,689.3100,689.4000,313269
2026-01-22 09:45:00,689.4000,689.5400,689.2200,689.2600,336922
2026-01-22 09:46:00,689.2500,689.2700,688.6600,688.7200,362448
2026-01-22 09:47:00,688.7300,688.9300,688.5200,688.5900,301822
2026-01-22 09:48:00,688.5800,688.6000,687.8600,687.9800,402502
2026-01-22 09:49:00,687.9600,688.0500,687.6200,687.8800,457061
2026-01-22 09:50:00,687.8800,688.0300,687.6200,687.8700,384237
2026-01-22 09:51:00,687.9000,688.4500,687.8100,688.3000,344903
2026-01-22 09:52:00,688.3000,688.7200,688.1700,688.4400,314878
2026-01-22 09:53:00,688.4500,688.5600,688.1900,688.4500,196052
2026-01-22 09:54:00,688.4300,688.5700,688.2700,688.4800,162395
2026-01-22 09:55:00,688.4700,688.6100,687.8800,688.0100,269432
2026-01-22 09:56:00,688.0000,688.0400,687.6700,687.8300,171177
2026-01-22 09:57:00,687.8200,687.9300,687.5600,687.6500,196976
2026-01-22 09:58:00,687.6400,687.9000,687.3800,687.5800,249864
2026-01-22 09:59:00,687.5800,687.9400,687.4800,687.8900,305325
2026-01-22 10:00:00,687.8900,688.0200,687.2500,687.4800,614961
2026-01-22 10:01:00,687.4800,687.6400,687.3100,687.3800,183458
2026-01-22 10:02:00,687.3800,687.4600,687.1200,687.1400,267899
2026-01-22 10:03:00,687.1500,687.3300,686.9700,687.2900,305872
2026-01-22 10:04:00,687.3100,687.4400,687.0900,687.3300,194485
2026-01-22 10:05:00,687.3200,687.4200,687.1000,687.1800,164826
2026-01-22 10:06:00,687.1900,687.3700,686.9500,687.2800,170655
2026-01-22 10:07:00,687.2900,687.3500,686.9200,687.1000,166467
2026-01-22 10:08:00,687.1000,687.5400,687.0800,687.5300,226040
2026-01-22 10:09:00,687.5400,687.5600,687.1800,687.3300,166855
2026-01-22 10:10:00,687.3600,687.7300,687.3100,687.4000,255145
2026-01-22 10:11:00,687.4100,687.6200,687.0900,687.1400,204772
2026-01-22 10:12:00,687.1400,687.4800,687.0800,687.4500,139678
2026-01-22 10:13:00,687.4500,687.7900,687.3600,687.7600,147571
2026-01-22 10:14:00,687.7600,687.8700,687.2300,687.3200,172135
2026-01-22 10:15:00,687.3500,687.8300,687.2900,687.6500,156619
2026-01-22 10:16:00,687.6500,688.0300,687.6000,687.7600,189103
2026-01-22 10:17:00,687.7400,687.7600,687.1300,687.2100,184791
2026-01-22 10:18:00,687.2100,687.7500,687.1800,687.5900,125131
2026-01-22 10:19:00,687.6200,687.7500,687.5000,687.6800,109087
2026-01-22 10:20:00,687.6700,688.2600,687.6100,688.1000,190857
2026-01-22 10:21:00,688.1400,688.2400,687.9600,688.1000,165155
2026-01-22 10:22:00,688.0900,688.3300,687.8600,688.3300,151001
2026-01-22 10:23:00,688.3300,688.5300,688.1700,688.2000,206995
2026-01-22 10:24:00,688.1900,688.2500,687.4100,687.4200,302013
2026-01-22 10:25:00,687.4100,687.7000,687.2800,687.6500,132561
2026-01-22 10:26:00,687.6700,688.2800,687.6200,688.2800,151353
2026-01-22 10:27:00,688.2900,688.4300,688.0800,688.3700,172532
2026-01-22 10:28:00,688.3900,688.6100,688.3500,688.5200,140278
2026-01-22 10:29:00,688.5300,688.6100,688.4100,688.4400,125182
2026-01-22 10:30:00,688.4600,688.6200,688.0500,688.6000,213795
2026-01-22 10:31:00,688.6100,688.6100,688.1900,688.3400,238425
2026-01-22 10:32:00,688.3300,688.6400,688.3000,688.6400,104525
2026-01-22 10:33:00,688.6300,688.7900,688.4700,688.7500,178344
2026-01-22 10:34:00,688.7500,688.9400,688.7200,688.8500,112830
2026-01-22 10:35:00,688.8500,689.0700,688.8300,689.0100,217157
2026-01-22 10:36:00,689.0200,689.1200,688.9100,688.9100,77199
2026-01-22 10:37:00,688.9100,688.9200,688.6600,688.8300,94761
2026-01-22 10:38:00,688.8100,688.9100,688.7200,688.8800,58033
2026-01-22 10:39:00,688.8900,689.1200,688.8600,688.9900,111722
2026-01-22 10:40:00,688.9800,689.0000,688.6100,688.7700,100868
2026-01-22 10:41:00,688.7700,688.9100,688.7100,688.9100,63982
2026-01-22 10:42:00,688.9000,689.1500,688.8200,689.1400,101978
2026-01-22 10:43:00,689.1200,689.2000,689.0500,689.1000,63600
2026-01-22 10:44:00,689.0900,689.2400,689.0700,689.2300,64433
2026-01-22 10:45:00,689.2200,689.3000,689.0900,689.3000,168690
2026-01-22 10:46:00,689.2900,689.4000,689.1500,689.3200,121824
2026-01-22 10:47:00,689.3200,689.4900,689.3100,689.4400,62212
2026-01-22 10:48:00,689.4500,689.4700,689.1400,689.2600,243482
2026-01-22 10:49:00,689.2600,689.3300,689.1600,689.2000,113686
2026-01-22 10:50:00,689.1400,689.1400,688.7400,689.0200,178341
2026-01-22 10:51:00,689.0400,689.0700,688.8600,689.0300,81353
2026-01-22 10:52:00,689.0500,689.1700,689.0200,689.1500,80361
2026-01-22 10:53:00,689.1500,689.1800,688.9900,689.0000,99859
2026-01-22 10:54:00,689.0100,689.0900,688.8000,688.8500,87946
2026-01-22 10:55:00,688.8500,689.0000,688.6700,688.8400,128585
2026-01-22 10:56:00,688.8600,688.9200,688.7000,688.8000,110570
2026-01-22 10:57:00,688.8200,688.9000,688.7400,688.8000,72885
2026-01-22 10:58:00,688.8000,688.9000,688.6200,688.8300,114669
2026-01-22 10:59:00,688.8300,688.9800,688.5800,688.6300,96762
2026-01-22 11:00:00,688.6200,689.1300,688.5800,689.0900,132488
2026-01-22 11:01:00,689.1000,689.1300,688.8300,688.8400,161235
2026-01-22 11:02:00,688.8500,689.0300,688.6900,689.0200,78442
2026-01-22 11:03:00,689.0300,689.0700,688.9000,689.0200,74230
2026-01-22 11:04:00,689.0200,689.1800,688.9600,689.1200,102390
2026-01-22 11:05:00,689.1200,689.2400,689.0500,689.1800,78948
2026-01-22 11:06:00,689.2000,689.4500,689.2000,689.4500,93016
2026-01-22 11:07:00,689.4500,689.4600,688.9900,689.1200,207484
2026-01-22 11:08:00,689.1300,689.3400,689.0400,689.3100,83577
2026-01-22 11:09:00,689.3100,689.4200,689.2800,689.3700,76046
2026-01-22 11:10:00,689.3800,689.4700,689.3300,689.4000,66077
2026-01-22 11:11:00,689.3900,689.5500,689.2000,689.5300,90200
2026-01-22 11:12:00,689.5300,689.7000,689.5300,689.5700,85281
2026-01-22 11:13:00,689.5700,689.6600,689.4500,689.6200,143420
2026-01-22 11:14:00,689.6100,689.7300,689.5800,689.6700,122823
2026-01-22 11:15:00,689.6700,689.8500,689.6500,689.8400,113637
2026-01-22 11:16:00,689.8300,689.8300,689.6100,689.6800,111997
2026-01-22 11:17:00,689.6900,689.6900,689.2300,689.3000,147327
2026-01-22 11:18:00,689.2700,689.5100,689.2600,689.4700,65500
2026-01-22 11:19:00,689.4700,689.6600,689.4400,689.5700,67286
2026-01-22 11:20:00,689.5700,689.8200,689.5500,689.8000,99020
2026-01-22 11:21:00,689.8100,689.8300,689.6600,689.7600,64404
2026-01-22 11:22:00,689.7600,689.8300,689.6600,689.8100,74251
2026-01-22 11:23:00,689.8100,689.8600,689.7100,689.8000,65213
2026-01-22 11:24:00,689.8100,689.8300,689.7500,689.8200,82115
2026-01-22 11:25:00,689.8200,689.9900,689.6900,689.8500,184643
2026-01-22 11:26:00,689.8700,689.9100,689.7800,689.8800,99121
2026-01-22 11:27:00,689.8800,689.9900,689.8500,689.9300,61450
2026-01-22 11:28:00,689.9300,690.0500,689.9100,690.0000,103409
2026-01-22 11:29:00,690.0100,690.0200,689.7500,689.8000,111262
2026-01-22 11:30:00,689.8000,689.8600,689.6800,689.7100,110966
2026-01-22 11:31:00,689.7100,689.9400,689.7100,689.9300,81065
2026-01-22 11:32:00,689.9400,689.9600,689.8200,689.8800,66845
2026-01-22 11:33:00,689.8700,689.9400,689.6200,689.7300,64553
2026-01-22 11:34:00,689.7500,689.9300,689.7500,689.8600,51444
2026-01-22 11:35:00,689.8600,689.8600,689.6700,689.7900,57062
2026-01-22 11:36:00,689.7800,689.8600,689.7100,689.8200,42315
2026-01-22 11:37:00,689.8100,689.9700,689.7400,689.9300,55502
2026-01-22 11:38:00,689.9300,689.9600,689.8000,689.9000,44662
2026-01-22 11:39:00,689.9100,689.9700,689.8500,689.9100,51515
2026-01-22 11:40:00,689.8800,690.0700,689.8000,690.0600,79816
2026-01-22 11:41:00,690.0600,690.2200,690.0000,690.0700,125553
2026-01-22 11:42:00,690.0800,690.1100,689.9700,690.1000,67512
2026-01-22 11:43:00,690.1000,690.1200,690.0000,690.0500,58582
2026-01-22 11:44:00,690.0500,690.1200,690.0200,690.0800,41501
2026-01-22 11:45:00,690.0900,690.2600,690.0800,690.2100,60420
2026-01-22 11:46:00,690.2200,690.2800,690.1500,690.2100,56435
2026-01-22 11:47:00,690.2100,690.3100,690.1500,690.2300,55411
2026-01-22 11:48:00,690.2200,690.3600,690.2100,690.2300,110380
2026-01-22 11:49:00,690.2300,690.3300,690.1800,690.2100,89014
2026-01-22 11:50:00,690.2100,690.3000,690.1400,690.2900,91155
2026-01-22 11:51:00,690.3000,690.3000,690.1700,690.2600,52776
2026-01-22 11:52:00,690.2700,690.5000,690.2400,690.2700,95733
2026-01-22 11:53:00,690.2700,690.3400,690.2000,690.2300,53267
2026-01-22 11:54:00,690.2400,690.2600,690.1100,690.2200,73337
2026-01-22 11:55:00,690.2200,690.2200,689.8500,689.8600,153917
2026-01-22 11:56:00,689.8600,689.9700,689.7100,689.7100,90428
2026-01-22 11:57:00,689.6900,689.9200,689.6500,689.8500,84904
2026-01-22 11:58:00,689.8500,689.8500,689.6800,689.7100,53218
2026-01-22 11:59:00,689.7000,689.8300,689.6900,689.7200,58931
2026-01-22 12:00:00,689.7100,689.7100,689.4200,689.4700,163746
2026-01-22 12:01:00,689.4500,689.9000,689.4000,689.8800,110031
2026-01-22 12:02:00,689.8700,689.9600,689.8100,689.8600,91356
2026-01-22 12:03:00,689.8600,689.9800,689.8500,689.9300,39327
2026-01-22 12:04:00,689.9300,690.0500,689.8900,690.0100,43300
2026-01-22 12:05:00,690.0200,690.1000,689.7900,689.9900,152834
2026-01-22 12:06:00,689.9900,690.0900,689.9600,690.0300,92384
2026-01-22 12:07:00,690.0400,690.1400,689.9800,690.0800,76902
2026-01-22 12:08:00,690.1100,690.4000,689.9900,690.3700,215179
2026-01-22 12:09:00,690.3700,690.4200,690.2300,690.3300,107040
2026-01-22 12:10:00,690.3500,690.3900,690.1500,690.3100,92219
2026-01-22 12:11:00,690.3000,690.5600,690.2900,690.4200,99120
2026-01-22 12:12:00,690.4300,690.4400,690.2200,690.2200,169455
2026-01-22 12:13:00,690.2300,690.3700,690.1700,690.3200,47627
2026-01-22 12:14:00,690.3200,690.3800,690.2400,690.3500,58004
2026-01-22 12:15:00,690.3800,690.4400,690.2300,690.2600,120047
2026-01-22 12:16:00,690.2600,690.3000,690.1800,690.2100,85672
2026-01-22 12:17:00,690.2100,690.2500,689.9400,689.9900,99261
2026-01-22 12:18:00,689.9900,690.1700,689.9900,690.1000,78628
2026-01-22 12:19:00,690.1000,690.2000,690.0800,690.1600,40918
2026-01-22 12:20:00,690.1600,690.1700,690.0100,690.0900,69356
2026-01-22 12:21:00,690.0900,690.1100,689.8600,690.0000,66403
2026-01-22 12:22:00,690.0000,690.0000,689.7600,689.8200,118737
2026-01-22 12:23:00,689.8200,690.0400,689.8100,690.0200,65025
2026-01-22 12:24:00,690.0200,690.1900,689.9800,690.1600,69719
