datetime,open,high,low,close,volume
2025-09-15 09:30:00,135.6300,135.7900,135.6300,135.7900,2176
2025-09-15 09:31:00,135.7000,135.7000,135.6800,135.6800,1002
2025-09-15 09:32:00,135.6400,135.7100,135.6400,135.6600,1506
2025-09-15 09:33:00,135.7700,135.7700,135.6600,135.6600,1134
2025-09-15 09:34:00,135.5100,135.5400,135.5100,135.5400,662
2025-09-15 09:35:00,135.6800,135.7000,135.6700,135.6700,1258
2025-09-15 09:36:00,135.6300,135.6300,135.6200,135.6200,670
2025-09-15 09:37:00,135.6500,135.7600,135.6500,135.7600,1344
2025-09-15 09:38:00,135.8100,135.8700,135.8100,135.8700,1434
2025-09-15 09:39:00,135.9000,135.9000,135.8000,135.8000,922
2025-09-15 09:40:00,135.8400,135.9300,135.8400,135.9300,1432
2025-09-15 09:41:00,135.9400,135.9500,135.9100,135.9200,2158
2025-09-15 09:42:00,135.9900,135.9900,135.9600,135.9700,1676
2025-09-15 09:43:00,135.9600,136.0000,135.9500,135.9500,1996
2025-09-15 09:44:00,135.9600,136.0000,135.8500,135.8500,1586
2025-09-15 09:45:00,135.9100,135.9100,135.8500,135.9000,4178
2025-09-15 09:46:00,135.8800,135.8800,135.8500,135.8500,994
2025-09-15 09:47:00,135.9400,135.9400,135.9400,135.9400,516
2025-09-15 09:48:00,135.9200,135.9200,135.9200,135.9200,602
2025-09-15 09:49:00,136.0100,136.0500,135.9900,136.0200,2030
2025-09-15 09:50:00,136.0300,136.0300,136.0300,136.0300,704
2025-09-15 09:51:00,136.1000,136.1100,136.1000,136.1100,942
2025-09-15 09:52:00,136.1200,136.1200,136.0600,136.0600,2858
2025-09-15 09:53:00,136.0400,136.0600,136.0400,136.0600,856
2025-09-15 09:54:00,136.0400,136.0600,136.0400,136.0600,1024
2025-09-15 09:55:00,136.0500,136.0500,135.9900,135.9900,1884
2025-09-15 09:56:00,136.0100,136.0100,136.0000,136.0000,2076
2025-09-15 09:57:00,136.0600,136.0600,136.0600,136.0600,428
2025-09-15 09:58:00,136.0400,136.0700,136.0400,136.0700,2252
2025-09-15 09:59:00,136.0900,136.0900,136.0700,136.0700,1732
2025-09-15 10:00:00,136.0800,136.0900,136.0800,136.0800,1404
2025-09-15 10:01:00,136.0800,136.0800,136.0600,136.0800,1452
2025-09-15 10:02:00,136.1200,136.1200,136.0700,136.0700,418
2025-09-15 10:04:00,136.0200,136.0300,136.0100,136.0100,688
2025-09-15 10:05:00,136.0300,136.0300,136.0000,136.0000,556
2025-09-15 10:08:00,135.9800,135.9800,135.9600,135.9600,486
2025-09-15 10:09:00,135.8500,135.8500,135.8500,135.8500,482
2025-09-15 10:10:00,135.8400,135.8400,135.8100,135.8100,440
2025-09-15 10:12:00,135.8200,135.8200,135.8200,135.8200,200
2025-09-15 10:15:00,135.8000,135.8100,135.8000,135.8100,864
2025-09-15 10:16:00,135.8100,135.8500,135.8100,135.8500,1008
2025-09-15 10:17:00,135.7600,135.7700,135.7600,135.7700,1212
2025-09-15 10:18:00,135.8200,135.8200,135.8200,135.8200,402
2025-09-15 10:20:00,135.8000,135.8000,135.7900,135.8000,1250
2025-09-15 10:21:00,135.8400,135.8400,135.8400,135.8400,418
2025-09-15 10:22:00,135.8500,135.8500,135.8500,135.8500,438
2025-09-15 10:23:00,135.8400,135.8400,135.8400,135.8400,480
2025-09-15 10:24:00,135.8700,135.8700,135.8700,135.8700,222
2025-09-15 10:25:00,135.8600,135.8700,135.8600,135.8700,606
2025-09-15 10:26:00,135.8900,135.9200,135.8900,135.9200,600
2025-09-15 10:29:00,136.0300,136.0300,136.0300,136.0300,406
2025-09-15 10:30:00,136.0000,136.0100,135.9200,136.0100,5906
2025-09-15 10:31:00,136.0400,136.0400,136.0100,136.0100,872
2025-09-15 10:32:00,136.0300,136.0300,136.0300,136.0300,602
2025-09-15 10:33:00,136.0100,136.0100,136.0100,136.0100,678
2025-09-15 10:34:00,136.0500,136.0500,136.0500,136.0500,366
2025-09-15 10:37:00,136.0200,136.0200,136.0000,136.0100,800
2025-09-15 10:38:00,135.9600,135.9600,135.9600,135.9600,1390
2025-09-15 10:39:00,135.9700,135.9800,135.9700,135.9800,2696
2025-09-15 10:40:00,136.0300,136.0300,136.0300,136.0300,400
2025-09-15 10:43:00,136.0600,136.0600,136.0500,136.0500,608
2025-09-15 10:44:00,136.0600,136.0600,136.0100,136.0100,1814
2025-09-15 10:45:00,136.0000,136.0100,136.0000,136.0100,1104
2025-09-15 10:46:00,136.0300,136.0300,136.0300,136.0300,298
2025-09-15 10:48:00,136.0100,136.0100,136.0000,136.0000,1312
2025-09-15 10:49:00,135.9600,135.9600,135.9400,135.9400,440
2025-09-15 10:50:00,135.9500,135.9500,135.9400,135.9400,510
2025-09-15 10:51:00,135.9600,135.9600,135.9600,135.9600,300
2025-09-15 10:52:00,135.9700,135.9700,135.9700,135.9700,346
2025-09-15 10:54:00,135.9800,135.9800,135.9700,135.9700,1602
2025-09-15 10:55:00,135.9700,135.9900,135.9700,135.9900,706
2025-09-15 10:56:00,135.9700,135.9700,135.9700,135.9700,202
2025-09-15 10:57:00,135.9600,135.9600,135.9600,135.9600,258
2025-09-15 10:59:00,136.0200,136.0200,136.0200,136.0200,224
2025-09-15 11:00:00,136.0200,136.0200,135.9800,135.9800,442
2025-09-15 11:01:00,135.9900,136.0200,135.9900,136.0200,1166
2025-09-15 11:02:00,136.0000,136.0000,136.0000,136.0000,600
2025-09-15 11:03:00,136.0100,136.0100,136.0100,136.0100,364
2025-09-15 11:05:00,136.0600,136.0600,136.0500,136.0500,786
2025-09-15 11:06:00,136.0400,136.0400,136.0400,136.0400,682
2025-09-15 11:07:00,135.9800,135.9800,135.9800,135.9800,360
2025-09-15 11:08:00,136.0000,136.0000,136.0000,136.0000,370
2025-09-15 11:11:00,136.0100,136.0100,136.0100,136.0100,380
2025-09-15 11:12:00,136.0800,136.0800,136.0800,136.0800,698
2025-09-15 11:15:00,136.0400,136.0400,136.0400,136.0400,490
2025-09-15 11:16:00,136.0500,136.0500,136.0500,136.0500,488
2025-09-15 11:17:00,136.0400,136.0500,136.0400,136.0500,652
2025-09-15 11:18:00,136.0700,136.0700,136.0700,136.0700,290
2025-09-15 11:19:00,136.0400,136.0400,136.0200,136.0300,1164
2025-09-15 11:20:00,136.0200,136.0200,136.0000,136.0100,2056
2025-09-15 11:21:00,136.0100,136.0400,136.0000,136.0300,3536
2025-09-15 11:22:00,136.0100,136.0100,136.0100,136.0100,284
2025-09-15 11:23:00,136.0000,136.0000,135.9800,135.9900,838
2025-09-15 11:26:00,136.1400,136.1400,136.1300,136.1300,508
2025-09-15 11:27:00,136.2000,136.2000,136.2000,136.2000,554
2025-09-15 11:28:00,136.1600,136.1600,136.1600,136.1600,1096
2025-09-15 11:29:00,136.1200,136.1200,136.1200,136.1200,430
2025-09-15 11:30:00,136.1300,136.1300,136.1000,136.1300,2240
2025-09-15 11:33:00,136.1300,136.1300,136.1200,136.1200,430
2025-09-15 11:35:00,136.1800,136.1900,136.1700,136.1900,620
2025-09-15 11:38:00,136.2400,136.2400,136.2400,136.2400,358
2025-09-15 11:39:00,136.2500,136.2500,136.2500,136.2500,368
2025-09-15 11:40:00,136.2700,136.2700,136.2700,136.2700,624
2025-09-15 11:42:00,136.2800,136.2800,136.2400,136.2500,1602
2025-09-15 11:43:00,136.2500,136.2600,136.2500,136.2500,1484
2025-09-15 11:44:00,136.2100,136.2100,136.2000,136.2000,1484
2025-09-15 11:45:00,136.1700,136.1900,136.1700,136.1900,1238
2025-09-15 11:46:00,136.1900,136.2200,136.1900,136.2200,832
2025-09-15 11:47:00,136.2500,136.2500,136.2500,136.2500,802
2025-09-15 11:49:00,136.3100,136.3100,136.3100,136.3100,330
2025-09-15 11:52:00,136.3300,136.3400,136.3300,136.3400,600
2025-09-15 11:53:00,136.3500,136.3500,136.3500,136.3500,200
2025-09-15 11:54:00,136.3500,136.3700,136.3400,136.3700,822
2025-09-15 11:55:00,136.3600,136.3600,136.3600,136.3600,330
2025-09-15 11:56:00,136.3400,136.3400,136.3100,136.3100,402
2025-09-15 11:57:00,136.3300,136.3600,136.3300,136.3600,1958
2025-09-15 11:58:00,136.3800,136.3800,136.3600,136.3600,576
2025-09-15 12:01:00,136.3100,136.3100,136.3100,136.3100,254
2025-09-15 12:02:00,136.2600,136.2600,136.2100,136.2100,936
2025-09-15 12:04:00,136.2200,136.2200,136.2200,136.2200,220
2025-09-15 12:05:00,136.2100,136.2200,136.2100,136.2100,1284
2025-09-15 12:06:00,136.2000,136.2000,136.2000,136.2000,382
2025-09-15 12:07:00,136.2100,136.2100,136.1800,136.1800,1142
2025-09-15 12:08:00,136.1800,136.1900,136.1800,136.1900,1602
2025-09-15 12:09:00,136.1700,136.1700,136.1700,136.1700,600
2025-09-15 12:10:00,136.1800,136.1800,136.1500,136.1500,2708
2025-09-15 12:11:00,136.1900,136.1900,136.1800,136.1800,678
2025-09-15 12:12:00,136.1800,136.2100,136.1800,136.2100,1070
2025-09-15 12:13:00,136.2300,136.2300,136.2100,136.2100,3384
2025-09-15 12:15:00,136.2200,136.2200,136.2200,136.2200,200
2025-09-15 12:17:00,136.2300,136.2300,136.2300,136.2300,560
2025-09-15 12:23:00,136.2600,136.2600,136.2600,136.2600,602
2025-09-15 12:24:00,136.2800,136.2800,136.2800,136.2800,220
2025-09-15 12:25:00,136.2700,136.2700,136.2700,136.2700,446
2025-09-15 12:26:00,136.2400,136.2400,136.2400,136.2400,238
2025-09-15 12:28:00,136.2400,136.2600,136.2400,136.2500,1082
2025-09-15 12:29:00,136.2600,136.2600,136.2600,136.2600,268
2025-09-15 12:32:00,136.3000,136.3000,136.3000,136.3000,204
2025-09-15 12:33:00,136.3200,136.3200,136.3200,136.3200,514
2025-09-15 12:34:00,136.3200,136.3200,136.3200,136.3200,200
2025-09-15 12:37:00,136.3200,136.3200,136.3200,136.3200,480
2025-09-15 12:42:00,136.3300,136.3300,136.3300,136.3300,200
2025-09-15 12:44:00,136.3900,136.3900,136.3900,136.3900,228
2025-09-15 12:45:00,136.3500,136.3500,136.3500,136.3500,208
2025-09-15 12:48:00,136.2900,136.2900,136.2900,136.2900,826
2025-09-15 12:54:00,136.2800,136.2800,136.2800,136.2800,1090
2025-09-15 12:55:00,136.2800,136.2800,136.2800,136.2800,414
2025-09-15 12:57:00,136.2500,136.2500,136.2500,136.2500,620
2025-09-15 12:58:00,136.2100,136.2600,136.2100,136.2600,604
2025-09-15 12:59:00,136.2600,136.2800,136.2500,136.2500,800
2025-09-15 13:00:00,136.2600,136.2600,136.2600,136.2600,530
2025-09-15 13:04:00,136.2600,136.2600,136.2600,136.2600,782
2025-09-15 13:05:00,136.2500,136.2500,136.2500,136.2500,296
2025-09-15 13:07:00,136.2700,136.2700,136.2700,136.2700,780
2025-09-15 13:08:00,136.2400,136.2400,136.2400,136.2400,1048
2025-09-15 13:11:00,136.1800,136.1800,136.1600,136.1600,1250
2025-09-15 13:13:00,136.2100,136.2300,136.2100,136.2200,1256
2025-09-15 13:14:00,136.1600,136.1600,136.1500,136.1500,1282
2025-09-15 13:15:00,136.1700,136.1700,136.1600,136.1600,426
2025-09-15 13:16:00,136.1600,136.1600,136.1600,136.1600,316
2025-09-15 13:17:00,136.1600,136.1600,136.1600,136.1600,322
2025-09-15 13:18:00,136.1500,136.1500,136.1500,136.1500,790
2025-09-15 13:19:00,136.1300,136.1300,136.1300,136.1300,810
2025-09-15 13:20:00,136.1400,136.1400,136.1400,136.1400,210
2025-09-15 13:21:00,136.0800,136.0800,136.0800,136.0800,528
2025-09-15 13:30:00,136.1000,136.1000,136.1000,136.1000,212
2025-09-15 13:35:00,136.1300,136.1300,136.1300,136.1300,234
2025-09-15 13:36:00,136.1400,136.1400,136.1400,136.1400,336
2025-09-15 13:37:00,136.1300,136.1300,136.1300,136.1300,274
2025-09-15 13:38:00,136.1600,136.1600,136.1600,136.1600,202
2025-09-15 13:43:00,136.2300,136.2300,136.2300,136.2300,806
2025-09-15 13:45:00,136.2000,136.2000,136.2000,136.2000,1130
2025-09-15 13:46:00,136.2000,136.2000,136.2000,136.2000,890
2025-09-15 13:48:00,136.2400,136.2400,136.2400,136.2400,200
2025-09-15 13:50:00,136.2800,136.2800,136.2700,136.2700,868
2025-09-15 13:51:00,136.2700,136.2700,136.2700,136.2700,200
2025-09-15 13:52:00,136.2600,136.2600,136.2600,136.2600,292
2025-09-15 13:55:00,136.3100,136.3100,136.3100,136.3100,206
2025-09-15 13:56:00,136.3000,136.3000,136.3000,136.3000,228
2025-09-15 13:57:00,136.3500,136.3500,136.3500,136.3500,604
2025-09-15 13:58:00,136.3800,136.3800,136.3800,136.3800,206
2025-09-15 14:02:00,136.3400,136.3400,136.3400,136.3400,282
2025-09-15 14:08:00,136.3600,136.3600,136.3600,136.3600,270
2025-09-15 14:09:00,136.3000,136.3000,136.3000,136.3000,400
2025-09-15 14:10:00,136.3200,136.3500,136.3200,136.3500,1404
2025-09-15 14:14:00,136.3200,136.3200,136.3200,136.3200,202
2025-09-15 14:15:00,136.3300,136.3300,136.3300,136.3300,380
2025-09-15 14:20:00,136.2800,136.2800,136.2800,136.2800,228
2025-09-15 14:22:00,136.2800,136.2800,136.2800,136.2800,866
2025-09-15 14:23:00,136.2900,136.3000,136.2900,136.3000,1118
2025-09-15 14:25:00,136.3200,136.3200,136.3200,136.3200,1400
2025-09-15 14:27:00,136.3200,136.3200,136.3200,136.3200,590
2025-09-15 14:31:00,136.2600,136.2600,136.2600,136.2600,1282
2025-09-15 14:32:00,136.2800,136.2800,136.2800,136.2800,572
2025-09-15 14:34:00,136.3600,136.3600,136.3500,136.3500,3122
2025-09-15 14:35:00,136.3400,136.3400,136.3400,136.3400,200
2025-09-15 14:36:00,136.3300,136.3300,136.3300,136.3300,578
2025-09-15 14:37:00,136.3400,136.3400,136.3300,136.3300,548
2025-09-15 14:39:00,136.3000,136.3200,136.3000,136.3200,632
2025-09-15 14:40:00,136.3100,136.3100,136.3100,136.3100,810
2025-09-15 14:41:00,136.3100,136.3100,136.3000,136.3100,1824
2025-09-15 14:42:00,136.2600,136.2800,136.2200,136.2200,2628
2025-09-15 14:43:00,136.2200,136.2200,136.1800,136.1800,2200
2025-09-15 14:44:00,136.1600,136.1800,136.1600,136.1700,3188
2025-09-15 14:45:00,136.2200,136.2200,136.2200,136.2200,556
2025-09-15 14:47:00,136.2300,136.2300,136.2300,136.2300,212
2025-09-15 14:48:00,136.2300,136.2400,136.2300,136.2400,1696
2025-09-15 14:50:00,136.3200,136.3200,136.3200,136.3200,816
2025-09-15 14:51:00,136.3200,136.3200,136.3200,136.3200,332
2025-09-15 14:53:00,136.3200,136.3200,136.3200,136.3200,318
2025-09-15 14:55:00,136.3600,136.3600,136.3500,136.3500,630
2025-09-15 14:56:00,136.3400,136.3400,136.3300,136.3300,782
2025-09-15 14:58:00,136.3000,136.3200,136.3000,136.3200,838
2025-09-15 14:59:00,136.3300,136.3400,136.3200,136.3400,600
2025-09-15 15:00:00,136.3800,136.3800,136.3600,136.3600,1100
2025-09-15 15:01:00,136.3800,136.3800,136.3800,136.3800,556
2025-09-15 15:02:00,136.3800,136.3800,136.3600,136.3600,1870
2025-09-15 15:06:00,136.3000,136.3000,136.3000,136.3000,802
2025-09-15 15:07:00,136.3300,136.3500,136.3300,136.3500,680
2025-09-15 15:08:00,136.3500,136.3500,136.3500,136.3500,200
2025-09-15 15:13:00,136.3600,136.3600,136.3600,136.3600,280
2025-09-15 15:14:00,136.3200,136.3200,136.3100,136.3100,500
2025-09-15 15:17:00,136.2900,136.2900,136.2900,136.2900,402
2025-09-15 15:19:00,136.3300,136.3300,136.3300,136.3300,646
2025-09-15 15:20:00,136.3400,136.3400,136.3200,136.3200,784
2025-09-15 15:22:00,136.3500,136.3500,136.3500,136.3500,642
2025-09-15 15:23:00,136.3200,136.3200,136.3200,136.3200,200
2025-09-15 15:25:00,136.3500,136.3500,136.3500,136.3500,406
2025-09-15 15:26:00,136.3600,136.3600,136.3600,136.3600,298
2025-09-15 15:27:00,136.3400,136.3400,136.3400,136.3400,420
2025-09-15 15:28:00,136.3600,136.3700,136.3500,136.3600,1050
2025-09-15 15:29:00,136.3600,136.3700,136.3600,136.3700,1672
2025-09-15 15:31:00,136.3400,136.3500,136.3300,136.3300,1314
2025-09-15 15:32:00,136.3300,136.3300,136.3200,136.3200,2224
2025-09-15 15:33:00,136.3300,136.3300,136.3200,136.3200,600
2025-09-15 15:34:00,136.3400,136.3500,136.3400,136.3500,822
2025-09-15 15:35:00,136.3900,136.3900,136.3900,136.3900,498
2025-09-15 15:36:00,136.3700,136.3700,136.3600,136.3700,1274
2025-09-15 15:37:00,136.3500,136.3600,136.3500,136.3600,1998
2025-09-15 15:38:00,136.3600,136.3600,136.3600,136.3600,800
2025-09-15 15:39:00,136.3700,136.3700,136.3500,136.3600,3290
2025-09-15 15:40:00,136.3600,136.3700,136.3400,136.3400,8170
2025-09-15 15:41:00,136.3600,136.3700,136.3500,136.3600,10680
2025-09-15 15:42:00,136.3600,136.3800,136.3600,136.3700,9640
2025-09-15 15:43:00,136.3700,136.3900,136.3600,136.3800,3558
2025-09-15 15:44:00,136.3800,136.3900,136.3700,136.3700,6404
2025-09-15 15:45:00,136.3800,136.4200,136.3800,136.4200,8310
2025-09-15 15:46:00,136.4200,136.4400,136.4200,136.4300,4400
2025-09-15 15:47:00,136.4400,136.4700,136.4400,136.4600,8620
2025-09-15 15:48:00,136.4600,136.4800,136.4600,136.4700,10014
2025-09-15 15:49:00,136.4600,136.4700,136.4500,136.4600,13084
2025-09-15 15:50:00,136.4200,136.4200,136.3500,136.3700,18326
2025-09-15 15:51:00,136.3700,136.3900,136.2600,136.2800,15404
2025-09-15 15:52:00,136.2900,136.3500,136.2900,136.3200,31026
2025-09-15 15:53:00,136.3200,136.3500,136.3200,136.3500,13972
2025-09-15 15:54:00,136.3500,136.4400,136.3300,136.4300,28500
2025-09-15 15:55:00,136.4200,136.4900,136.3800,136.4900,19192
2025-09-15 15:56:00,136.4900,136.5100,136.4800,136.5100,24656
2025-09-15 15:57:00,136.4900,136.5900,136.4900,136.5900,24288
2025-09-15 15:58:00,136.5800,136.6100,136.5600,136.6100,19792
2025-09-15 15:59:00,136.6000,136.6800,136.5900,136.6500,23736
2025-09-16 09:30:00,137.0200,137.0600,136.9500,136.9500,2388
2025-09-16 09:31:00,136.9300,136.9700,136.8100,136.9400,3454
2025-09-16 09:32:00,136.8100,136.8100,136.8100,136.8100,1108
2025-09-16 09:33:00,136.8400,136.8800,136.7300,136.7300,1634
2025-09-16 09:34:00,136.6500,136.7100,136.6500,136.7100,1154
2025-09-16 09:35:00,136.7300,136.7900,136.7300,136.7900,1152
2025-09-16 09:36:00,136.8200,136.8500,136.8200,136.8500,2706
2025-09-16 09:37:00,136.8600,136.9300,136.8600,136.8600,2922
2025-09-16 09:38:00,136.8200,136.8400,136.8100,136.8100,1854
2025-09-16 09:40:00,136.8400,136.8500,136.8400,136.8500,836
2025-09-16 09:41:00,136.8600,136.9000,136.8200,136.9000,1494
2025-09-16 09:42:00,136.9200,136.9500,136.9100,136.9400,1782
2025-09-16 09:43:00,136.9500,136.9700,136.9400,136.9700,1210
2025-09-16 09:44:00,137.0000,137.0100,136.9900,137.0100,1864
2025-09-16 09:45:00,137.0100,137.0100,136.8200,136.8400,1922
2025-09-16 09:46:00,136.8700,136.8800,136.8200,136.8200,3250
2025-09-16 09:47:00,136.8000,136.8200,136.7800,136.8200,3728
2025-09-16 09:48:00,136.7800,136.8700,136.7800,136.8500,2090
2025-09-16 09:49:00,136.8400,136.8500,136.8400,136.8500,872
2025-09-16 09:50:00,136.8500,136.8600,136.7800,136.7800,2492
2025-09-16 09:51:00,136.7100,136.7100,136.6400,136.6400,1096
2025-09-16 09:52:00,136.6600,136.6700,136.6600,136.6700,974
2025-09-16 09:53:00,136.7000,136.7000,136.7000,136.7000,268
2025-09-16 09:54:00,136.7200,136.7300,136.7000,136.7000,2684
2025-09-16 09:55:00,136.6700,136.6700,136.6700,136.6700,214
2025-09-16 09:56:00,136.6500,136.6500,136.6500,136.6500,1230
2025-09-16 09:58:00,136.7000,136.7000,136.6700,136.6700,644
2025-09-16 09:59:00,136.7400,136.7400,136.7300,136.7300,706
2025-09-16 10:00:00,136.6900,136.6900,136.6700,136.6700,1380
2025-09-16 10:01:00,136.6900,136.7500,136.6900,136.7100,2258
2025-09-16 10:03:00,136.6500,136.6800,136.6500,136.6800,2852
2025-09-16 10:04:00,136.6800,136.7000,136.6600,136.6600,3084
2025-09-16 10:05:00,136.7100,136.7100,136.6700,136.6700,992
2025-09-16 10:07:00,136.6700,136.6900,136.6500,136.6900,834
2025-09-16 10:08:00,136.7100,136.7200,136.7000,136.7000,1428
2025-09-16 10:09:00,136.6800,136.6800,136.6800,136.6800,678
2025-09-16 10:10:00,136.7000,136.7000,136.6800,136.6800,806
2025-09-16 10:11:00,136.6300,136.6500,136.6300,136.6500,1070
2025-09-16 10:12:00,136.6800,136.6800,136.6400,136.6400,2094
2025-09-16 10:13:00,136.6200,136.6400,136.6200,136.6400,502
2025-09-16 10:14:00,136.6600,136.6600,136.6400,136.6500,2534
2025-09-16 10:15:00,136.6500,136.7100,136.6400,136.7000,1686
2025-09-16 10:16:00,136.6900,136.7100,136.6900,136.6900,1264
2025-09-16 10:17:00,136.7100,136.7100,136.7100,136.7100,412
2025-09-16 10:19:00,136.7400,136.7400,136.6900,136.6900,2134
2025-09-16 10:20:00,136.6500,136.7200,136.6300,136.7100,2200
2025-09-16 10:21:00,136.6900,136.7000,136.6700,136.6700,1252
2025-09-16 10:22:00,136.6900,136.6900,136.6900,136.6900,482
2025-09-16 10:23:00,136.6900,136.7100,136.6900,136.7000,1160
2025-09-16 10:24:00,136.6900,136.6900,136.6900,136.6900,294
2025-09-16 10:25:00,136.6600,136.6700,136.6600,136.6600,1074
2025-09-16 10:26:00,136.6200,136.6200,136.5700,136.6000,2164
2025-09-16 10:27:00,136.5700,136.5800,136.5400,136.5500,1312
2025-09-16 10:28:00,136.5700,136.6000,136.5700,136.6000,848
2025-09-16 10:30:00,136.5400,136.5400,136.5400,136.5400,362
2025-09-16 10:31:00,136.5200,136.5400,136.5200,136.5400,1024
2025-09-16 10:33:00,136.4900,136.5200,136.4700,136.4800,1804
2025-09-16 10:34:00,136.5100,136.5100,136.5100,136.5100,208
2025-09-16 10:36:00,136.5000,136.5000,136.5000,136.5000,1504
2025-09-16 10:37:00,136.5300,136.5500,136.5100,136.5500,1314
2025-09-16 10:38:00,136.5100,136.5100,136.4000,136.4100,1098
2025-09-16 10:39:00,136.4200,136.4300,136.4100,136.4300,1498
2025-09-16 10:40:00,136.4300,136.4400,136.4200,136.4200,1004
2025-09-16 10:41:00,136.4200,136.4500,136.4200,136.4400,2092
2025-09-16 10:42:00,136.4600,136.4600,136.4600,136.4600,910
2025-09-16 10:43:00,136.4600,136.4600,136.4500,136.4500,3264
2025-09-16 10:44:00,136.4700,136.4700,136.4200,136.4200,1346
2025-09-16 10:45:00,136.3600,136.3800,136.3500,136.3500,2276
2025-09-16 10:46:00,136.3800,136.4300,136.3800,136.4300,908
2025-09-16 10:47:00,136.4300,136.4400,136.4300,136.4400,400
2025-09-16 10:50:00,136.4000,136.4000,136.4000,136.4000,498
2025-09-16 10:52:00,136.4400,136.4500,136.4400,136.4500,926
2025-09-16 10:53:00,136.4500,136.4500,136.4500,136.4500,408
2025-09-16 10:54:00,136.5000,136.5000,136.5000,136.5000,402
2025-09-16 10:55:00,136.4500,136.4500,136.4500,136.4500,400
2025-09-16 10:56:00,136.4300,136.4500,136.4300,136.4500,550
2025-09-16 10:59:00,136.4800,136.4800,136.4800,136.4800,396
2025-09-16 11:00:00,136.4700,136.4700,136.4600,136.4600,2042
2025-09-16 11:01:00,136.3700,136.3700,136.3700,136.3700,300
2025-09-16 11:02:00,136.3300,136.3300,136.3300,136.3300,500
