datetime,open,high,low,close,volume
2025-09-15 09:30:00,138.1700,138.4000,138.0900,138.4000,3163
2025-09-15 09:31:00,138.4000,138.5200,138.3700,138.4500,4756
2025-09-15 09:32:00,138.3100,138.4000,138.1100,138.1150,5159
2025-09-15 09:33:00,138.0500,138.1500,138.0500,138.0950,2431
2025-09-15 09:34:00,138.1400,138.1700,138.1000,138.1000,1330
2025-09-15 09:35:00,138.1200,138.1200,138.0000,138.0000,1941
2025-09-15 09:36:00,138.0600,138.1100,138.0300,138.1000,1286
2025-09-15 09:37:00,138.1000,138.1000,137.9350,137.9750,1309
2025-09-15 09:38:00,137.9400,137.9400,137.8250,137.8500,1810
2025-09-15 09:39:00,137.8600,137.8700,137.8600,137.8700,420
2025-09-15 09:40:00,137.8900,137.8900,137.7900,137.7900,649
2025-09-15 09:41:00,137.7100,137.7400,137.6800,137.7400,2394
2025-09-15 09:42:00,137.6200,137.6600,137.6100,137.6300,2197
2025-09-15 09:43:00,137.6650,137.7600,137.6500,137.7600,2580
2025-09-15 09:44:00,137.7300,137.7800,137.7250,137.7700,4155
2025-09-15 09:45:00,137.7600,137.7700,137.7100,137.7250,1300
2025-09-15 09:46:00,137.6800,137.7400,137.6800,137.7150,2796
2025-09-15 09:47:00,137.6950,137.8000,137.6950,137.8000,2066
2025-09-15 09:48:00,137.7900,137.8950,137.7900,137.8650,3450
2025-09-15 09:49:00,137.8400,137.8900,137.7800,137.7800,1456
2025-09-15 09:50:00,137.8100,137.8200,137.7000,137.7650,1606
2025-09-15 09:51:00,137.7400,137.7400,137.6850,137.6850,945
2025-09-15 09:52:00,137.7700,137.8250,137.7700,137.8250,1942
2025-09-15 09:53:00,137.8100,137.8200,137.8050,137.8200,705
2025-09-15 09:54:00,137.8000,137.8700,137.8000,137.8700,2728
2025-09-15 09:55:00,137.9150,137.9900,137.9150,137.9900,3422
2025-09-15 09:56:00,138.0000,138.0100,137.9900,138.0100,1025
2025-09-15 09:57:00,138.0400,138.0500,138.0100,138.0300,5250
2025-09-15 09:58:00,138.0300,138.0900,138.0100,138.0500,750
2025-09-15 09:59:00,138.0400,138.0400,138.0200,138.0200,1518
2025-09-15 10:00:00,137.9800,137.9800,137.8600,137.9000,2010
2025-09-15 10:01:00,137.8800,137.9000,137.8800,137.9000,842
2025-09-15 10:02:00,137.8800,137.9300,137.8800,137.9150,1578
2025-09-15 10:03:00,137.9000,137.9000,137.8600,137.8750,1072
2025-09-15 10:04:00,137.8300,137.8300,137.7900,137.7900,600
2025-09-15 10:05:00,137.8300,137.8300,137.7700,137.8200,624
2025-09-15 10:06:00,137.7700,137.7750,137.7700,137.7750,498
2025-09-15 10:07:00,137.6900,137.6900,137.6700,137.6700,375
2025-09-15 10:08:00,137.6350,137.6350,137.6300,137.6300,441
2025-09-15 10:09:00,137.5800,137.6100,137.5500,137.6100,910
2025-09-15 10:10:00,137.5650,137.6700,137.5500,137.6700,1266
2025-09-15 10:11:00,137.6650,137.6800,137.6400,137.6400,1345
2025-09-15 10:12:00,137.6300,137.6300,137.6100,137.6100,1244
2025-09-15 10:13:00,137.5800,137.6200,137.5800,137.5900,1379
2025-09-15 10:14:00,137.5600,137.6100,137.5600,137.6100,1066
2025-09-15 10:15:00,137.5750,137.5750,137.5200,137.5200,1216
2025-09-15 10:16:00,137.5100,137.5100,137.4550,137.4600,1565
2025-09-15 10:17:00,137.4200,137.4500,137.4200,137.4500,1061
2025-09-15 10:18:00,137.4800,137.4800,137.4200,137.4300,1254
2025-09-15 10:19:00,137.4350,137.4800,137.4350,137.4800,1326
2025-09-15 10:20:00,137.4900,137.5200,137.4800,137.4800,2054
2025-09-15 10:21:00,137.4750,137.4750,137.4400,137.4600,712
2025-09-15 10:22:00,137.4700,137.5200,137.4700,137.5200,358
2025-09-15 10:23:00,137.5450,137.5800,137.5300,137.5800,1127
2025-09-15 10:24:00,137.6300,137.6800,137.6300,137.6800,250
2025-09-15 10:25:00,137.6500,137.6500,137.6500,137.6500,100
2025-09-15 10:26:00,137.6600,137.6600,137.6000,137.6100,461
2025-09-15 10:27:00,137.6100,137.6100,137.5950,137.6100,712
2025-09-15 10:28:00,137.6150,137.6700,137.6150,137.6500,2619
2025-09-15 10:29:00,137.6500,137.7200,137.6400,137.6700,1323
2025-09-15 10:30:00,137.6600,137.7300,137.6300,137.7300,2619
2025-09-15 10:31:00,137.7450,137.7600,137.7250,137.7350,1663
2025-09-15 10:32:00,137.7400,137.7700,137.7400,137.7700,1240
2025-09-15 10:33:00,137.8050,137.8050,137.7550,137.7750,1010
2025-09-15 10:34:00,137.7700,137.8200,137.7550,137.8200,2000
2025-09-15 10:35:00,137.8050,137.8200,137.7750,137.7900,1492
2025-09-15 10:36:00,137.8000,137.8000,137.7000,137.7350,1386
2025-09-15 10:37:00,137.7150,137.7150,137.7100,137.7150,529
2025-09-15 10:38:00,137.7350,137.7600,137.7300,137.7300,1110
2025-09-15 10:39:00,137.7400,137.7500,137.6500,137.6500,447
2025-09-15 10:40:00,137.6500,137.6500,137.6350,137.6350,616
2025-09-15 10:41:00,137.6800,137.7000,137.6800,137.7000,1027
2025-09-15 10:42:00,137.7050,137.7350,137.7000,137.7350,2410
2025-09-15 10:43:00,137.6900,137.7050,137.6700,137.6750,1130
2025-09-15 10:44:00,137.7150,137.7500,137.7150,137.7400,2211
2025-09-15 10:45:00,137.7350,137.7950,137.7350,137.7950,1453
2025-09-15 10:46:00,137.7700,137.7700,137.6900,137.7100,1894
2025-09-15 10:47:00,137.7450,137.7550,137.7400,137.7400,1013
