datetime,open,high,low,close,volume
2025-05-12 09:30:00,110.4100,110.6700,108.8700,109.2900,2700497
2025-05-12 09:35:00,109.2900,109.6600,108.8500,109.0400,1164116
2025-05-12 09:40:00,109.0400,109.2200,108.3900,108.5900,1085850
2025-05-12 09:45:00,108.6000,109.1000,108.2700,108.7500,907902
2025-05-12 09:50:00,108.7500,109.3900,108.5600,109.2600,654310
2025-05-12 09:55:00,109.2700,109.3100,108.2100,108.2300,679229
2025-05-12 10:00:00,108.2300,108.9300,108.1600,108.9200,765354
2025-05-12 10:05:00,108.9200,109.1600,108.4200,108.5500,660374
2025-05-12 10:10:00,108.5400,108.6800,108.3300,108.3700,428168
2025-05-12 10:15:00,108.3700,108.7200,108.2900,108.4200,631688
2025-05-12 10:20:00,108.4400,108.5500,108.1600,108.2500,598874
2025-05-12 10:25:00,108.2500,108.2600,107.3500,107.4900,831487
2025-05-12 10:30:00,107.4900,107.5500,107.1600,107.2400,714917
2025-05-12 10:35:00,107.2300,107.3400,106.9800,107.1500,467958
2025-05-12 10:40:00,107.1500,107.4900,107.0600,107.4100,553146
2025-05-12 10:45:00,107.4100,107.5700,107.2300,107.5000,485429
2025-05-12 10:50:00,107.4900,107.7800,107.3600,107.7700,506344
2025-05-12 10:55:00,107.7800,107.8400,107.5100,107.6300,483590
2025-05-12 11:00:00,107.6500,107.9700,107.6000,107.8800,312237
2025-05-12 11:05:00,107.9100,107.9100,107.4800,107.7100,402354
2025-05-12 11:10:00,107.7300,107.8100,107.4300,107.7700,435316
2025-05-12 11:15:00,107.7700,107.8500,107.5400,107.8200,314506
2025-05-12 11:20:00,107.8200,107.9400,107.6700,107.9400,388036
2025-05-12 11:25:00,107.9500,108.1600,107.8600,108.1400,506088
2025-05-12 11:30:00,108.1600,108.1600,107.9100,107.9300,334783
2025-05-12 11:35:00,107.9200,108.2100,107.8700,107.9900,364211
2025-05-12 11:40:00,107.9900,108.1300,107.8300,107.9300,289472
2025-05-12 11:45:00,107.9400,108.0700,107.8700,108.0100,254284
2025-05-12 11:50:00,108.0300,108.0300,107.7500,107.9700,272165
2025-05-12 11:55:00,107.9800,108.2200,107.9600,108.2000,367827
2025-05-12 12:00:00,108.2000,108.5300,108.1400,108.5200,413723
2025-05-12 12:05:00,108.5100,108.9800,108.5000,108.9400,434254
2025-05-12 12:10:00,108.9400,109.1300,108.8800,108.9800,572351
2025-05-12 12:15:00,108.9800,109.1000,108.8200,108.9500,319101
2025-05-12 12:20:00,108.9500,109.0100,108.8000,108.9900,311144
2025-05-12 12:25:00,108.9900,109.0300,108.8300,108.8500,239927
2025-05-12 12:30:00,108.8600,109.1500,108.8200,109.1300,310240
2025-05-12 12:35:00,109.1300,109.1800,108.9900,109.0700,228206
2025-05-12 12:40:00,109.0700,109.1500,108.9800,109.0800,246623
2025-05-12 12:45:00,109.0800,109.2900,108.8700,109.2700,334911
2025-05-12 12:50:00,109.2600,109.4800,109.1600,109.4300,301777
2025-05-12 12:55:00,109.4300,109.4300,109.2200,109.2400,264554
2025-05-12 13:00:00,109.2400,109.4200,109.1400,109.4000,318464
2025-05-12 13:05:00,109.4100,109.6800,109.3900,109.6600,355748
2025-05-12 13:10:00,109.6600,109.7500,109.3400,109.4400,465274
2025-05-12 13:15:00,109.4400,109.4400,109.2600,109.3700,344334
2025-05-12 13:20:00,109.3700,109.3700,108.9700,109.0300,295668
2025-05-12 13:25:00,109.0300,109.3400,108.9700,109.3200,239764
2025-05-12 13:30:00,109.3100,109.3700,109.0400,109.0500,199435
2025-05-12 13:35:00,109.0600,109.0800,108.8200,108.8900,298389
2025-05-12 13:40:00,108.9000,109.0600,108.8600,108.8900,230157
2025-05-12 13:45:00,108.8900,109.0100,108.8500,108.9800,199321
2025-05-12 13:50:00,108.9700,108.9900,108.8400,108.9200,184352
2025-05-12 13:55:00,108.9100,108.9200,108.6400,108.6500,242465
2025-05-12 14:00:00,108.6500,108.7300,108.5500,108.6600,303442
2025-05-12 14:05:00,108.6600,108.6700,108.3300,108.4000,335437
2025-05-12 14:10:00,108.4000,108.5700,108.1900,108.5700,293648
2025-05-12 14:15:00,108.5800,108.6100,108.4100,108.5900,226312
2025-05-12 14:20:00,108.5900,108.6200,108.4800,108.5800,151598
2025-05-12 14:25:00,108.5800,108.5900,108.3500,108.4400,188442
2025-05-12 14:30:00,108.4500,108.5800,108.3500,108.4200,178546
2025-05-12 14:35:00,108.4300,108.5600,108.3900,108.4600,156748
2025-05-12 14:40:00,108.4600,108.4800,108.2400,108.2800,179927
2025-05-12 14:45:00,108.2800,108.3600,108.2500,108.3100,195885
2025-05-12 14:50:00,108.3100,108.3400,108.1300,108.2200,282721
2025-05-12 14:55:00,108.2000,108.2500,108.0300,108.0400,237441
2025-05-12 15:00:00,108.0400,108.0400,107.8400,108.0300,320371
2025-05-12 15:05:00,108.0400,108.2800,107.9600,108.2600,341291
2025-05-12 15:10:00,108.2700,108.2700,107.9400,107.9900,291633
2025-05-12 15:15:00,107.9900,108.0600,107.8500,108.0200,331501
2025-05-12 15:20:00,108.0300,108.0300,107.7000,107.7200,330268
2025-05-12 15:25:00,107.7300,107.7900,107.6000,107.7500,325624
2025-05-12 15:30:00,107.7500,107.9600,107.6100,107.7700,429192
