datetime,open,high,low,close,volume
2025-05-12 09:30:00,210.6700,211.6600,208.7200,208.8000,7192148
2025-05-12 09:35:00,208.7900,208.8300,206.4700,206.6000,2731174
2025-05-12 09:40:00,206.6100,207.1000,205.7500,206.8200,1951400
2025-05-12 09:45:00,206.8100,207.1400,206.0600,207.0900,1479531
2025-05-12 09:50:00,207.0900,207.9600,206.9100,207.7100,991878
2025-05-12 09:55:00,207.7200,207.8800,206.9600,207.8800,1215726
2025-05-12 10:00:00,207.9000,208.4100,207.5100,208.3400,1155313
2025-05-12 10:05:00,208.3300,208.8600,208.0800,208.2900,1071231
2025-05-12 10:10:00,208.3300,208.6800,208.0400,208.1200,1021535
2025-05-12 10:15:00,208.1100,208.1600,207.6300,207.7900,739619
2025-05-12 10:20:00,207.8000,208.3100,207.2500,208.0500,925020
2025-05-12 10:25:00,208.0600,208.1300,206.7200,206.9600,887428
2025-05-12 10:30:00,206.9800,207.0000,206.5200,206.8400,730707
2025-05-12 10:35:00,206.8300,207.3700,206.5900,207.3100,630847
2025-05-12 10:40:00,207.3100,208.1400,207.2600,208.0800,685446
2025-05-12 10:45:00,208.0600,208.0800,207.6000,207.6700,435293
2025-05-12 10:50:00,207.6800,208.0400,207.3300,207.9500,427626
2025-05-12 10:55:00,207.9500,207.9900,207.1600,207.2200,384678
2025-05-12 11:00:00,207.2300,207.9000,207.0000,207.6500,592206
2025-05-12 11:05:00,207.6400,207.7200,206.9600,207.0200,443927
2025-05-12 11:10:00,207.0200,207.2300,206.6800,207.0200,422745
2025-05-12 11:15:00,207.0000,207.2200,206.9000,207.0600,289996
2025-05-12 11:20:00,207.0600,207.2200,206.7000,206.9300,576093
2025-05-12 11:25:00,206.9200,206.9400,206.4400,206.8700,458960
2025-05-12 11:30:00,206.8700,207.3500,206.8600,207.3100,473549
2025-05-12 11:35:00,207.3000,207.8000,207.2700,207.3900,425993
2025-05-12 11:40:00,207.3700,207.4800,206.9800,207.2900,357567
2025-05-12 11:45:00,207.3100,207.6400,207.2800,207.4400,298115
2025-05-12 11:50:00,207.4400,207.4800,206.8700,207.1300,268775
2025-05-12 11:55:00,207.1200,207.3500,206.4600,206.5200,355519
2025-05-12 12:00:00,206.5300,207.0900,206.3200,207.0200,387463
2025-05-12 12:05:00,207.0400,207.4600,206.9200,207.3100,359714
2025-05-12 12:10:00,207.3000,207.4400,206.9400,207.4200,423640
2025-05-12 12:15:00,207.4100,207.4700,206.9800,207.0800,336944
2025-05-12 12:20:00,207.0800,207.4100,207.0800,207.3100,226682
2025-05-12 12:25:00,207.3300,207.5000,207.1800,207.2800,327331
2025-05-12 12:30:00,207.2900,207.5000,207.1100,207.3100,216975
2025-05-12 12:35:00,207.3200,207.4900,207.1500,207.1700,193502
2025-05-12 12:40:00,207.1600,207.7000,207.1300,207.6400,360432
2025-05-12 12:45:00,207.6400,207.9200,207.4800,207.7700,296351
2025-05-12 12:50:00,207.7800,208.0600,207.7000,207.9000,378042
2025-05-12 12:55:00,207.9000,208.0800,207.8300,207.9600,422033
2025-05-12 13:00:00,207.9700,208.3900,207.9700,208.3200,451702
2025-05-12 13:05:00,208.3400,208.8700,208.2100,208.7300,445664
2025-05-12 13:10:00,208.7200,208.8600,208.3600,208.4600,452666
2025-05-12 13:15:00,208.4900,208.8300,208.3900,208.6300,280244
2025-05-12 13:20:00,208.6600,208.6900,208.3300,208.3800,223564
2025-05-12 13:25:00,208.3800,208.4600,208.2300,208.2400,245729
2025-05-12 13:30:00,208.2300,208.6000,208.1700,208.3100,292557
2025-05-12 13:35:00,208.2800,208.3000,207.9100,208.2800,259114
2025-05-12 13:40:00,208.2600,208.4500,208.1300,208.3500,208198
2025-05-12 13:45:00,208.3400,208.7000,208.3300,208.6000,271671
2025-05-12 13:50:00,208.6300,208.7600,208.5200,208.7200,212971
2025-05-12 13:55:00,208.7200,208.7200,208.3600,208.4000,243477
2025-05-12 14:00:00,208.4100,208.5400,208.3700,208.4200,150158
2025-05-12 14:05:00,208.4200,208.4800,208.2600,208.3800,276936
2025-05-12 14:10:00,208.3800,208.4200,207.9500,208.2800,282933
2025-05-12 14:15:00,208.2800,208.5300,208.1300,208.5300,242553
2025-05-12 14:20:00,208.5200,208.7000,208.4700,208.6600,218706
2025-05-12 14:25:00,208.6600,208.7300,208.3600,208.5200,271801
2025-05-12 14:30:00,208.5200,208.7400,208.4900,208.6500,251556
2025-05-12 14:35:00,208.6600,208.9300,208.6000,208.9300,231096
2025-05-12 14:40:00,208.9300,209.1700,208.9000,208.9100,402673
2025-05-12 14:45:00,208.9100,208.9200,208.6800,208.7700,197658
2025-05-12 14:50:00,208.7600,208.8000,208.5600,208.6000,193157
2025-05-12 14:55:00,208.6000,208.6500,208.4200,208.4600,289695
2025-05-12 15:00:00,208.4600,208.4600,208.0600,208.2800,267067
2025-05-12 15:05:00,208.2900,208.4000,208.1300,208.2900,313412
2025-05-12 15:10:00,208.2600,208.3400,207.6900,207.8600,398405
2025-05-12 15:15:00,207.8400,208.3600,207.6700,208.2900,294154
2025-05-12 15:20:00,208.2900,208.3000,208.0500,208.0800,286295
2025-05-12 15:25:00,208.0800,208.1100,207.8600,207.9800,365338
2025-05-12 15:30:00,207.9700,208.1800,207.7900,208.0300,404967
