datetime,open,high,low,close,volume
2025-05-12 09:30:00,133.8700,134.0700,133.4100,133.6700,685548
2025-05-12 09:35:00,133.6600,133.9700,132.4300,132.5700,1363723
2025-05-12 09:40:00,132.5700,133.1100,132.4900,133.1100,586986
2025-05-12 09:45:00,133.1200,133.4500,132.8200,133.1800,368460
2025-05-12 09:50:00,133.2000,133.9500,133.1400,133.7600,498220
2025-05-12 09:55:00,133.7800,133.7900,132.9000,133.0300,407067
2025-05-12 10:00:00,133.0400,133.5300,132.8000,133.3400,335353
2025-05-12 10:05:00,133.3500,133.5600,133.2100,133.2100,200619
2025-05-12 10:10:00,133.2200,133.4600,133.1000,133.2400,377367
2025-05-12 10:15:00,133.2500,133.7400,133.1400,133.6400,318808
2025-05-12 10:20:00,133.6400,133.7600,133.2600,133.2600,242895
2025-05-12 10:25:00,133.2500,133.2700,132.5800,132.6400,373337
2025-05-12 10:30:00,132.6400,133.0000,132.5300,132.5900,563475
2025-05-12 10:35:00,132.5900,132.7500,132.3000,132.6700,288708
2025-05-12 10:40:00,132.6800,133.0600,132.5600,133.0000,255747
2025-05-12 10:45:00,133.0000,133.1900,132.8400,132.8900,136315
2025-05-12 10:50:00,132.9000,132.9000,132.5200,132.5600,156855
2025-05-12 10:55:00,132.5700,132.8800,132.4200,132.7500,107515
2025-05-12 11:00:00,132.7600,132.8400,132.5600,132.7500,118616
2025-05-12 11:05:00,132.7700,132.8500,132.5900,132.7300,125772
2025-05-12 11:10:00,132.7300,132.8000,132.5600,132.7300,151486
2025-05-12 11:15:00,132.7400,133.0400,132.6900,132.9600,190109
2025-05-12 11:20:00,132.9700,132.9900,132.7100,132.8300,119112
2025-05-12 11:25:00,132.8200,133.1700,132.7400,133.1000,128309
2025-05-12 11:30:00,133.1100,133.1100,132.8100,133.0200,156832
2025-05-12 11:35:00,133.0400,133.1800,132.9800,133.0400,117071
2025-05-12 11:40:00,133.0600,133.1500,132.9300,133.1400,73933
2025-05-12 11:45:00,133.1300,133.1800,132.8600,132.9000,155794
2025-05-12 11:50:00,132.9300,132.9600,132.7100,132.9400,67257
2025-05-12 11:55:00,132.9400,132.9900,132.8000,132.8400,58716
2025-05-12 12:00:00,132.8400,133.1000,132.8200,133.0000,88909
2025-05-12 12:05:00,133.0000,133.1000,132.8200,132.8500,81954
2025-05-12 12:10:00,132.8500,132.9400,132.6900,132.9100,115909
2025-05-12 12:15:00,132.9200,132.9900,132.6900,132.6900,132325
2025-05-12 12:20:00,132.6900,132.9100,132.5600,132.8600,121643
2025-05-12 12:25:00,132.8500,133.0300,132.8400,133.0200,107343
2025-05-12 12:30:00,133.0200,133.1700,133.0100,133.1300,129999
