datetime,open,high,low,close,volume
2025-05-12 09:30:00,343.1100,351.0000,343.1100,345.0400,287189
2025-05-12 09:35:00,345.2900,347.0800,345.1800,346.1200,73971
2025-05-12 09:40:00,346.0500,346.5900,344.4900,344.7300,61400
2025-05-12 09:45:00,344.4000,345.5000,344.2900,344.7800,36203
2025-05-12 09:50:00,344.6800,345.6200,344.2600,344.7700,35785
2025-05-12 09:55:00,344.3900,344.5100,342.7000,343.3900,29460
2025-05-12 10:00:00,343.2100,345.8600,343.2100,345.8600,50494
2025-05-12 10:05:00,345.8200,346.1200,344.9300,345.6400,32917
2025-05-12 10:10:00,345.3600,345.6500,344.6800,344.9200,19177
2025-05-12 10:15:00,345.0000,345.4100,344.2900,344.5500,72116
2025-05-12 10:20:00,344.4600,344.7300,343.6000,344.4900,27512
2025-05-12 10:25:00,344.4800,344.4800,342.6000,342.7500,23831
2025-05-12 10:30:00,342.8500,343.3600,342.0300,342.7500,32599
2025-05-12 10:35:00,342.7300,343.4900,342.6100,343.0000,44596
2025-05-12 10:40:00,342.8700,343.0500,342.4100,342.8800,53699
2025-05-12 10:45:00,342.8200,343.0000,342.1200,342.4800,24066
2025-05-12 10:50:00,342.5700,342.7500,342.1500,342.4500,10484
2025-05-12 10:55:00,342.5000,342.5000,340.7400,340.8300,18794
2025-05-12 11:00:00,341.0600,341.4200,340.4900,341.2500,15638
2025-05-12 11:05:00,341.3500,341.4200,340.1600,340.3000,20713
2025-05-12 11:10:00,340.2700,340.6600,339.8500,339.8600,29831
2025-05-12 11:15:00,339.8600,340.9500,339.8500,340.7600,21202
2025-05-12 11:20:00,340.7300,340.8900,340.1400,340.3100,17119
2025-05-12 11:25:00,340.3700,340.6300,339.7300,340.4400,26061
2025-05-12 11:30:00,340.3500,341.0400,340.0200,340.6100,21488
2025-05-12 11:35:00,340.5000,340.9900,340.3300,340.8900,10031
2025-05-12 11:40:00,340.6700,340.7300,340.4000,340.4100,9810
2025-05-12 11:45:00,340.4600,340.7500,340.3200,340.4100,14211
2025-05-12 11:50:00,340.5600,340.5700,340.0300,340.3800,18855
2025-05-12 11:55:00,340.5000,340.6200,340.0200,340.1500,18684
2025-05-12 12:00:00,340.1400,340.4300,339.7300,340.0400,27105
2025-05-12 12:05:00,340.1600,340.6500,340.1600,340.6400,16989
2025-05-12 12:10:00,340.6700,340.6700,340.3500,340.4300,9937
2025-05-12 12:15:00,340.5100,340.5100,340.1800,340.1900,6912
2025-05-12 12:20:00,340.1900,341.1600,340.1800,341.0600,7818
2025-05-12 12:25:00,341.1500,341.2900,340.6200,340.6300,6952
2025-05-12 12:30:00,340.6000,341.1500,340.5800,341.1200,7869
2025-05-12 12:35:00,341.1400,341.4400,340.9600,341.0800,9446
2025-05-12 12:40:00,341.0500,341.5900,340.9900,341.5600,15466
2025-05-12 12:45:00,341.6800,341.7800,341.5400,341.6900,8606
2025-05-12 12:50:00,341.7900,342.4300,341.7300,342.3400,13058
2025-05-12 12:55:00,342.4200,342.8900,342.4100,342.7600,17855
2025-05-12 13:00:00,342.7300,343.5000,342.7300,343.4900,12706
2025-05-12 13:05:00,343.6200,344.2000,343.3700,344.0700,23130
2025-05-12 13:10:00,344.0200,344.0200,343.3700,343.5900,15505
2025-05-12 13:15:00,343.5700,343.6600,343.2900,343.4300,23216
2025-05-12 13:20:00,343.4000,343.5800,343.1800,343.4200,9225
2025-05-12 13:25:00,343.3400,343.5500,343.1700,343.1700,5762
2025-05-12 13:30:00,343.1800,343.4700,343.0800,343.1100,6287
2025-05-12 13:35:00,343.0200,343.1300,342.7200,343.0700,3635
2025-05-12 13:40:00,343.1500,343.2500,343.0100,343.0100,12364
2025-05-12 13:45:00,343.0500,343.2500,342.8700,343.0300,6841
2025-05-12 13:50:00,343.1000,343.6100,343.0900,343.5000,9692
2025-05-12 13:55:00,343.6100,343.7100,343.0700,343.0700,6733
2025-05-12 14:00:00,343.2700,343.3700,343.0200,343.2500,15579
2025-05-12 14:05:00,343.3200,343.5300,343.0400,343.0500,5874
2025-05-12 14:10:00,342.9400,343.0200,342.7000,342.9000,6672
2025-05-12 14:15:00,342.9000,343.3600,342.9000,343.3600,4366
2025-05-12 14:20:00,343.4600,343.4800,343.1100,343.1100,6119
2025-05-12 14:25:00,343.2100,343.4300,343.0100,343.3700,7721
2025-05-12 14:30:00,343.4300,343.8500,343.3800,343.7500,15567
2025-05-12 14:35:00,343.8200,344.2600,343.6700,344.2600,16288
2025-05-12 14:40:00,344.3300,344.4100,343.5400,343.5400,5612
2025-05-12 14:45:00,343.5900,344.0400,343.5400,343.5400,6241
2025-05-12 14:50:00,343.7100,343.9200,343.5200,343.8100,12992
