datetime,open,high,low,close,volume
2025-05-12 09:30:00,596.2500,603.3700,594.8600,596.9100,167064
2025-05-12 09:35:00,596.9200,600.5100,596.7200,599.8300,58976
2025-05-12 09:40:00,599.5400,601.4600,599.0100,601.3400,56821
2025-05-12 09:45:00,601.5000,601.5000,598.2900,599.9600,29282
2025-05-12 09:50:00,600.2300,600.6100,598.8800,599.9300,24872
2025-05-12 09:55:00,599.6800,599.7900,596.6200,597.1900,31099
2025-05-12 10:00:00,597.4100,598.4600,595.9900,597.3600,48931
2025-05-12 10:05:00,597.3200,597.6900,596.7100,597.4200,17946
2025-05-12 10:10:00,597.1700,598.3100,596.5500,596.7100,18793
2025-05-12 10:15:00,596.7100,597.3700,595.3900,596.1000,22690
2025-05-12 10:20:00,596.3100,597.2200,594.7900,596.4300,28490
2025-05-12 10:25:00,596.5100,596.5100,594.6900,595.5500,40783
2025-05-12 10:30:00,595.5400,595.6700,592.6600,593.5900,33716
2025-05-12 10:35:00,593.2800,594.2400,592.6700,594.0000,17953
2025-05-12 10:40:00,594.0700,596.4000,594.0200,596.3100,29890
2025-05-12 10:45:00,596.4300,596.7900,595.0000,596.2400,29565
2025-05-12 10:50:00,596.0100,596.8500,595.0800,595.7800,19922
2025-05-12 10:55:00,595.6000,596.2500,594.8400,595.0000,15855
2025-05-12 11:00:00,595.0700,595.5200,594.2200,595.1300,25499
2025-05-12 11:05:00,594.9200,595.5900,593.6700,593.6700,14609
2025-05-12 11:10:00,593.9900,595.1000,593.5700,594.5000,19586
2025-05-12 11:15:00,594.6700,594.6700,592.8700,593.3100,18582
2025-05-12 11:20:00,593.3600,593.6200,591.4900,592.0200,19851
2025-05-12 11:25:00,592.1100,593.0400,591.7600,593.0400,8469
2025-05-12 11:30:00,593.0000,593.3700,592.3400,592.7200,7106
2025-05-12 11:35:00,592.5100,592.9000,591.0000,591.4900,5873
2025-05-12 11:40:00,591.3800,591.4300,590.4100,590.9400,6952
2025-05-12 11:45:00,591.0400,591.0400,589.7200,589.9200,12109
2025-05-12 11:50:00,589.8100,589.8100,588.7400,588.8200,8945
2025-05-12 11:55:00,588.9900,589.1900,588.0800,588.3700,12294
2025-05-12 12:00:00,588.3700,589.1700,588.3600,588.9600,3504
2025-05-12 12:05:00,589.2300,589.9300,589.0600,589.8400,8081
2025-05-12 12:10:00,589.7400,590.0800,589.6900,589.9300,4234
2025-05-12 12:15:00,589.9300,590.0100,589.1800,589.6400,5357
2025-05-12 12:20:00,589.6500,590.7400,589.3600,590.6800,9816
2025-05-12 12:25:00,590.7100,590.9000,590.0000,590.2300,6466
2025-05-12 12:30:00,589.9300,590.5800,589.8800,590.4600,5386
2025-05-12 12:35:00,590.5800,590.9000,590.3200,590.4800,5145
2025-05-12 12:40:00,590.4300,590.7900,590.3100,590.5700,8778
2025-05-12 12:45:00,590.5100,591.2300,590.3000,591.1300,10415
2025-05-12 12:50:00,591.1400,592.6500,591.0200,592.5200,11526
2025-05-12 12:55:00,592.3400,592.4400,591.8000,592.3200,7702
2025-05-12 13:00:00,592.2900,592.8800,592.2900,592.8800,2107
2025-05-12 13:05:00,593.1100,593.6400,592.2400,593.6400,9354
2025-05-12 13:10:00,593.5900,593.5900,592.7800,593.1500,3905
2025-05-12 13:15:00,593.2200,593.3200,592.7300,592.7300,15349
2025-05-12 13:20:00,592.7900,592.7900,591.9500,592.3200,5907
2025-05-12 13:25:00,592.1700,592.8400,591.9600,592.4800,4759
2025-05-12 13:30:00,592.3900,592.9400,592.1000,592.1000,5567
2025-05-12 13:35:00,592.2400,592.2600,591.5900,591.8700,6258
2025-05-12 13:40:00,591.9700,592.2400,591.2700,591.9000,7362
2025-05-12 13:45:00,592.0000,592.1400,591.7000,591.8000,7591
2025-05-12 13:50:00,592.0400,592.3000,591.8600,592.2400,9504
2025-05-12 13:55:00,592.1300,592.2100,591.5300,591.7600,9662
2025-05-12 14:00:00,591.8700,592.6500,591.6800,592.6500,7440
2025-05-12 14:05:00,592.4500,592.6600,592.1000,592.4100,6738
2025-05-12 14:10:00,592.4100,592.9900,592.3000,592.6100,11701
2025-05-12 14:15:00,592.6500,593.5300,592.4900,593.4700,5370
2025-05-12 14:20:00,593.6900,594.2200,593.6200,593.8400,25621
2025-05-12 14:25:00,593.8400,593.9500,593.2100,593.6400,9295
