datetime,open,high,low,close,volume
2025-05-12 09:30:00,297.9800,309.7500,297.9700,308.5000,263592
2025-05-12 09:35:00,309.8000,309.8200,306.7500,307.3800,76341
2025-05-12 09:40:00,307.4300,308.1900,305.3900,305.6800,64149
2025-05-12 09:45:00,305.6800,306.0400,301.6100,302.3800,48385
2025-05-12 09:50:00,302.3800,303.3300,300.6400,302.2700,73796
2025-05-12 09:55:00,302.4400,303.3300,301.5100,303.2600,34719
2025-05-12 10:00:00,303.6400,305.6000,303.6300,305.2100,25044
2025-05-12 10:05:00,305.3000,306.2000,303.8900,304.0000,12875
2025-05-12 10:10:00,303.7400,305.8900,303.6400,305.0500,18902
2025-05-12 10:15:00,304.9100,305.1500,304.3700,305.0400,22517
2025-05-12 10:20:00,305.1000,305.2600,304.0400,304.5600,17445
2025-05-12 10:25:00,304.3300,304.3300,302.5700,302.8200,15924
2025-05-12 10:30:00,302.8200,302.9100,301.6900,302.0100,40079
2025-05-12 10:35:00,302.0100,302.0200,300.4900,301.6100,13798
2025-05-12 10:40:00,301.6300,303.1200,301.6300,301.8300,10877
2025-05-12 10:45:00,302.3000,302.9200,301.6500,302.4400,15236
2025-05-12 10:50:00,302.7000,303.2800,302.5000,303.2800,6140
2025-05-12 10:55:00,303.1300,303.1300,301.3300,301.8400,10065
2025-05-12 11:00:00,301.8400,302.0400,301.3200,301.6900,5177
2025-05-12 11:05:00,301.7100,301.7100,299.7400,299.9300,8208
2025-05-12 11:10:00,299.6800,300.3400,299.0000,299.3300,6068
2025-05-12 11:15:00,299.0600,300.0800,299.0600,299.6200,7978
2025-05-12 11:20:00,299.5200,300.5000,299.4800,300.5000,16586
2025-05-12 11:25:00,300.3100,300.5500,300.0000,300.4700,4690
2025-05-12 11:30:00,300.4500,300.7500,299.7000,300.5900,18583
2025-05-12 11:35:00,300.5500,300.7900,300.1200,300.3200,3563
2025-05-12 11:40:00,300.2800,300.6300,299.6900,300.6300,7577
2025-05-12 11:45:00,300.6300,300.6300,300.2300,300.3200,10993
2025-05-12 11:50:00,300.0700,300.6100,299.0600,299.6000,4992
2025-05-12 11:55:00,299.9800,300.0000,299.5600,299.7400,5726
2025-05-12 12:00:00,299.9900,300.6300,299.7900,300.5200,3753
2025-05-12 12:05:00,300.7000,301.0400,300.5300,301.0400,5792
2025-05-12 12:10:00,301.1100,301.4600,300.7100,301.4600,10020
2025-05-12 12:15:00,301.4500,302.0700,301.4500,301.6700,8528
2025-05-12 12:20:00,301.4500,301.8200,301.1700,301.3800,2246
2025-05-12 12:25:00,301.6000,302.0000,301.0000,301.0000,5221
2025-05-12 12:30:00,300.9500,301.8700,300.9500,301.8000,7705
2025-05-12 12:35:00,301.7400,301.9200,300.8900,300.8900,4610
2025-05-12 12:40:00,301.0500,301.4100,300.9200,301.2700,2900
2025-05-12 12:45:00,301.1600,301.5700,301.0300,301.4500,6688
2025-05-12 12:50:00,301.4500,301.7300,301.1400,301.5700,8291
2025-05-12 12:55:00,301.5700,301.6800,301.1000,301.4000,6917
2025-05-12 13:00:00,301.2600,301.2700,300.9300,301.1300,1800
2025-05-12 13:05:00,301.1300,301.5400,301.0500,301.3600,7370
2025-05-12 13:10:00,301.3400,301.6300,300.9700,301.3600,8429
2025-05-12 13:15:00,301.1900,301.3900,300.8700,300.8700,9215
2025-05-12 13:20:00,300.6700,301.1100,300.4200,300.8800,15853
2025-05-12 13:25:00,300.8800,301.8900,300.8700,301.8200,6351
