datetime,open,high,low,close,volume
2025-05-12 09:30:00,121.9700,122.8200,121.6000,121.8600,11847569
2025-05-12 09:35:00,121.8600,122.0000,121.0300,121.3600,5526022
2025-05-12 09:40:00,121.3600,121.6700,120.6800,121.3000,4610650
2025-05-12 09:45:00,121.3000,121.5300,120.8800,121.4600,3652894
2025-05-12 09:50:00,121.4600,122.0800,121.3900,121.8600,3565772
2025-05-12 09:55:00,121.8600,121.9600,121.1500,121.3800,2609044
2025-05-12 10:00:00,121.3800,121.4700,120.9700,121.0500,2757384
2025-05-12 10:05:00,121.0400,121.4300,120.9400,121.0300,2388195
2025-05-12 10:10:00,121.0400,121.4700,120.9500,121.4300,2326516
2025-05-12 10:15:00,121.4300,121.7000,121.3200,121.4200,2182513
2025-05-12 10:20:00,121.4100,121.4900,121.0300,121.0800,2384088
2025-05-12 10:25:00,121.0800,121.1300,120.4700,120.8500,3358679
2025-05-12 10:30:00,120.8600,120.9100,120.2800,120.5200,2609097
2025-05-12 10:35:00,120.5000,120.6800,120.3300,120.5900,1927125
2025-05-12 10:40:00,120.5900,120.9600,120.5800,120.8800,1942232
2025-05-12 10:45:00,120.8900,120.9800,120.5800,120.7100,1575555
2025-05-12 10:50:00,120.7000,120.9400,120.4800,120.9200,1701818
2025-05-12 10:55:00,120.9100,120.9800,120.7500,120.8800,1531107
2025-05-12 11:00:00,120.8800,121.2000,120.7100,121.1000,2127956
2025-05-12 11:05:00,121.0900,121.1500,120.8700,120.9800,1353859
2025-05-12 11:10:00,120.9800,121.2800,120.9100,121.2800,1292755
2025-05-12 11:15:00,121.2800,121.6100,121.2400,121.5700,2129933
2025-05-12 11:20:00,121.5800,121.6900,121.4300,121.6800,1687392
2025-05-12 11:25:00,121.6800,121.8500,121.6000,121.6600,1838012
2025-05-12 11:30:00,121.6600,121.8500,121.5900,121.8000,1194483
2025-05-12 11:35:00,121.8100,121.8800,121.6100,121.6800,1475481
2025-05-12 11:40:00,121.6900,121.7400,121.5200,121.6500,1185802
2025-05-12 11:45:00,121.6500,121.8400,121.6300,121.6700,882533
2025-05-12 11:50:00,121.6700,121.7000,121.4400,121.6000,1391033
2025-05-12 11:55:00,121.6100,121.7400,121.5200,121.7300,1067232
2025-05-12 12:00:00,121.7300,122.1000,121.6500,122.0200,2429602
2025-05-12 12:05:00,122.0200,122.3000,122.0200,122.2900,1959432
2025-05-12 12:10:00,122.2900,122.4800,122.2800,122.3800,1999278
2025-05-12 12:15:00,122.3900,122.7200,122.3700,122.6700,2328443
2025-05-12 12:20:00,122.6700,122.6800,122.4400,122.5000,1541318
2025-05-12 12:25:00,122.5000,122.5500,122.3200,122.3700,1449417
2025-05-12 12:30:00,122.3800,122.4800,122.3300,122.4600,914325
2025-05-12 12:35:00,122.4600,122.6000,122.4400,122.4800,1233918
2025-05-12 12:40:00,122.4800,122.5300,122.4200,122.4400,834860
2025-05-12 12:45:00,122.4400,122.6000,122.4100,122.5800,1096995
2025-05-12 12:50:00,122.5900,122.7400,122.5100,122.7100,1432475
2025-05-12 12:55:00,122.7000,122.7200,122.5200,122.5600,1275857
2025-05-12 13:00:00,122.5700,122.5900,122.3300,122.5200,1284111
2025-05-12 13:05:00,122.5200,122.8900,122.4400,122.8400,2247417
2025-05-12 13:10:00,122.8500,122.9300,122.5800,122.6700,2136989
2025-05-12 13:15:00,122.6800,122.8200,122.5500,122.7200,1206609
2025-05-12 13:20:00,122.7100,122.7400,122.4800,122.5900,1070855
2025-05-12 13:25:00,122.5900,122.7100,122.5500,122.6700,810653
2025-05-12 13:30:00,122.6700,122.7500,122.5900,122.6500,779094
2025-05-12 13:35:00,122.6500,122.6600,122.4700,122.5100,1173664
2025-05-12 13:40:00,122.5000,122.5700,122.4700,122.5400,789593
2025-05-12 13:45:00,122.5500,122.7400,122.5400,122.6000,1152155
2025-05-12 13:50:00,122.6100,122.8600,122.6000,122.8300,1263693
2025-05-12 13:55:00,122.8300,122.8800,122.7400,122.8200,1046510
2025-05-12 14:00:00,122.8200,122.9400,122.7700,122.7800,1359030
2025-05-12 14:05:00,122.7900,122.8200,122.6300,122.6600,918801
2025-05-12 14:10:00,122.6700,122.6900,122.5400,122.6500,1028909
2025-05-12 14:15:00,122.6600,122.7000,122.5000,122.6800,1065192
2025-05-12 14:20:00,122.6800,122.7700,122.6000,122.6400,922589
2025-05-12 14:25:00,122.6300,122.7900,122.5700,122.7300,1090841
2025-05-12 14:30:00,122.7300,122.7900,122.5700,122.6400,980624
2025-05-12 14:35:00,122.6400,122.7600,122.6400,122.7100,1058620
2025-05-12 14:40:00,122.7000,122.8500,122.6700,122.7700,1273097
2025-05-12 14:45:00,122.7700,122.9100,122.7600,122.8600,1430783
2025-05-12 14:50:00,122.8600,122.8900,122.7100,122.7500,1332601
2025-05-12 14:55:00,122.7500,122.7900,122.5600,122.5900,1108070
2025-05-12 15:00:00,122.5900,122.7800,122.4800,122.7700,1596455
2025-05-12 15:05:00,122.7800,123.0000,122.7100,122.9300,2355981
2025-05-12 15:10:00,122.9400,122.9400,122.7400,122.8700,1773430
2025-05-12 15:15:00,122.8700,122.9300,122.7600,122.8700,1329966
2025-05-12 15:20:00,122.8700,122.9000,122.6600,122.6700,1439119
2025-05-12 15:25:00,122.6700,122.6800,122.4700,122.5900,1751172
2025-05-12 15:30:00,122.5800,122.5900,122.3700,122.3800,1596186
2025-05-12 15:35:00,122.3900,122.4200,122.1300,122.2200,2067309
2025-05-12 15:40:00,122.2200,122.3800,122.0700,122.3100,2404061
2025-05-12 15:45:00,122.3200,122.5200,122.1800,122.5100,2251780
2025-05-12 15:50:00,122.5100,123.0000,122.5100,122.8800,4876825
2025-05-12 15:55:00,122.8900,123.0000,122.6200,123.0000,8021545
2025-05-13 09:30:00,124.9800,125.8500,124.4700,125.6400,11583426
2025-05-13 09:35:00,125.6600,126.1800,125.4800,126.1100,5584237
2025-05-13 09:40:00,126.1100,126.5700,125.9800,126.5200,5250100
2025-05-13 09:45:00,126.5100,126.7300,126.3700,126.4600,4462813
2025-05-13 09:50:00,126.4700,127.2800,126.4400,127.2500,4932688
2025-05-13 09:55:00,127.2500,127.8900,127.1000,127.7300,5602707
2025-05-13 10:00:00,127.7300,127.8500,127.4700,127.5900,4411775
2025-05-13 10:05:00,127.6000,128.5700,127.5600,128.4400,6804493
2025-05-13 10:10:00,128.4400,128.8800,127.8100,128.7800,6477558
2025-05-13 10:15:00,128.7800,129.5000,128.6500,129.1300,7237619
2025-05-13 10:20:00,129.1400,129.2200,128.7100,129.0300,4844714
2025-05-13 10:25:00,129.0300,129.4000,128.8800,129.2200,3902462
2025-05-13 10:30:00,129.2200,129.6100,128.9200,129.2100,4547179
2025-05-13 10:35:00,129.2100,129.6900,129.1800,129.5600,3840298
2025-05-13 10:40:00,129.5500,129.6100,129.2000,129.3500,3455680
2025-05-13 10:45:00,129.3500,129.8000,129.3100,129.7800,4012992
2025-05-13 10:50:00,129.7700,130.0000,129.7500,129.8900,5302151
2025-05-13 10:55:00,129.8900,130.8300,129.8800,130.6300,6985725
2025-05-13 11:00:00,130.6300,130.6400,130.0700,130.1600,4456976
2025-05-13 11:05:00,130.1500,130.1900,129.5500,129.7100,4706545
2025-05-13 11:10:00,129.7100,130.0100,129.5500,129.5900,3516209
2025-05-13 11:15:00,129.5900,130.2500,129.5900,130.1800,3392939
2025-05-13 11:20:00,130.1800,130.1900,129.9000,129.9100,2607010
2025-05-13 11:25:00,129.9100,130.1800,129.8200,129.8400,2731805
2025-05-13 11:30:00,129.8400,129.9000,129.6400,129.7900,2094109
2025-05-13 11:35:00,129.8000,130.3500,129.4500,129.9400,4516407
2025-05-13 11:40:00,129.9400,129.9800,129.5900,129.8400,2158253
2025-05-13 11:45:00,129.8400,130.0300,129.7500,129.9000,2570136
2025-05-13 11:50:00,129.9000,130.0000,129.8200,129.9600,1555364
2025-05-13 11:55:00,129.9700,129.9900,129.7900,129.9100,1526206
2025-05-13 12:00:00,129.9200,129.9500,129.3600,129.3900,2758282
2025-05-13 12:05:00,129.3900,129.6800,129.3100,129.6400,1838578
2025-05-13 12:10:00,129.6500,129.9200,129.4800,129.9000,1798300
2025-05-13 12:15:00,129.9000,130.0200,129.8300,129.9300,2159711
2025-05-13 12:20:00,129.9300,129.9500,129.7000,129.9300,1585045
2025-05-13 12:25:00,129.9300,130.4800,129.9300,130.4600,3300225
2025-05-13 12:30:00,130.4500,130.4700,130.0900,130.2400,1880792
2025-05-13 12:35:00,130.2400,130.6000,130.2200,130.5800,2083635
2025-05-13 12:40:00,130.5900,130.7900,130.4700,130.7400,2118214
2025-05-13 12:45:00,130.7400,131.0000,130.6500,130.9800,2200185
2025-05-13 12:50:00,130.9800,131.0000,130.8500,130.9300,1776534
2025-05-13 12:55:00,130.9300,130.9500,130.5700,130.6400,1783215
2025-05-13 13:00:00,130.6300,130.7800,130.5100,130.7400,1377899
2025-05-13 13:05:00,130.7500,130.7900,130.4500,130.7800,1515706
2025-05-13 13:10:00,130.7800,130.8700,130.6400,130.7700,1097246
2025-05-13 13:15:00,130.7800,130.9700,130.7100,130.9300,1402007
2025-05-13 13:20:00,130.9300,130.9400,130.7800,130.8800,990901
2025-05-13 13:25:00,130.8900,130.9000,130.7000,130.8400,1227939
2025-05-13 13:30:00,130.8400,130.9900,130.8100,130.9700,1551948
2025-05-13 13:35:00,130.9700,131.2200,130.9300,130.9900,2759673
2025-05-13 13:40:00,130.9800,131.0900,130.7400,130.8200,1563864
2025-05-13 13:45:00,130.8300,131.0400,130.7900,130.9800,1257778
2025-05-13 13:50:00,130.9900,131.0700,130.4500,130.4800,1629962
2025-05-13 13:55:00,130.4700,130.5200,130.2200,130.2400,2440597
2025-05-13 14:00:00,130.2500,130.3200,129.8800,130.2200,3130010
2025-05-13 14:05:00,130.2200,130.3500,130.0000,130.0200,1667534
2025-05-13 14:10:00,130.0300,130.1700,129.8700,130.0000,1806060
2025-05-13 14:15:00,130.0000,130.1800,129.8600,130.1500,1539749
2025-05-13 14:20:00,130.1600,130.4200,130.0800,130.3700,1778575
2025-05-13 14:25:00,130.3700,130.5000,130.3100,130.4400,1689030
2025-05-13 14:30:00,130.4500,130.4700,130.1700,130.2400,1671182
2025-05-13 14:35:00,130.2300,130.3800,130.1600,130.2200,1553420
2025-05-13 14:40:00,130.2300,130.3300,129.8500,129.9200,1700468
2025-05-13 14:45:00,129.9300,130.0300,129.7200,129.9400,1909029
2025-05-13 14:50:00,129.9300,130.1500,129.8500,130.1200,1423958
2025-05-13 14:55:00,130.1200,130.4900,130.0800,130.4700,2099154
2025-05-13 15:00:00,130.4700,130.5700,130.3000,130.4900,1749987
2025-05-13 15:05:00,130.4900,130.6800,130.1500,130.2000,2161773
2025-05-13 15:10:00,130.2000,130.3200,130.1100,130.1500,1491487
2025-05-13 15:15:00,130.1500,130.3300,130.1200,130.3100,1620657
2025-05-13 15:20:00,130.3100,130.3200,129.9000,129.9800,1868076
2025-05-13 15:25:00,129.9700,130.2700,129.9200,130.2200,1626673
2025-05-13 15:30:00,130.2200,130.2200,130.0400,130.1900,1742721
2025-05-13 15:35:00,130.1900,130.4200,130.1000,130.2500,2318121
2025-05-13 15:40:00,130.2500,130.3700,130.2100,130.3000,1861060
2025-05-13 15:45:00,130.3000,130.3200,130.1100,130.2000,1691006
2025-05-13 15:50:00,130.2100,130.4900,129.9600,130.0300,4076862
2025-05-13 15:55:00,130.0300,130.1200,129.8200,129.8400,6712709
2025-05-14 09:30:00,133.2100,134.8600,132.7500,134.8000,15310801
2025-05-14 09:35:00,134.8000,134.8500,133.8800,134.0000,7116907
2025-05-14 09:40:00,134.0100,134.1700,133.3300,133.6400,5644836
2025-05-14 09:45:00,133.6500,133.7100,132.4100,133.1600,6934737
2025-05-14 09:50:00,133.1600,133.2200,132.4100,132.7100,4143893
2025-05-14 09:55:00,132.7100,132.8600,131.9400,132.6700,4996397
2025-05-14 10:00:00,132.6700,132.7200,132.1100,132.6200,4041223
2025-05-14 10:05:00,132.6200,133.1500,132.3400,132.8400,3997167
2025-05-14 10:10:00,132.8400,132.8500,132.4300,132.6100,2886558
2025-05-14 10:15:00,132.6000,132.6100,131.9400,132.0400,3198682
2025-05-14 10:20:00,132.0300,132.4800,131.6800,132.2500,3512441
2025-05-14 10:25:00,132.2400,132.7400,132.1900,132.6600,2242017
2025-05-14 10:30:00,132.6400,132.8300,132.3700,132.5300,2452748
2025-05-14 10:35:00,132.5400,132.7800,132.3800,132.5900,1599928
2025-05-14 10:40:00,132.5800,132.9600,132.4100,132.5800,2157569
2025-05-14 10:45:00,132.5800,132.9000,132.5000,132.8900,1526390
2025-05-14 10:50:00,132.8900,133.5900,132.8200,133.5700,3886061
2025-05-14 10:55:00,133.5600,133.7800,133.4400,133.5200,2745535
2025-05-14 11:00:00,133.5200,133.5500,133.0800,133.1300,2458861
