datetime,open,high,low,close,volume
2025-05-12 09:30:00,156.3100,156.3800,154.8200,155.3000,250573
2025-05-12 09:35:00,155.2700,155.7500,155.0700,155.2700,94406
2025-05-12 09:40:00,155.2400,155.4300,154.9000,155.1100,80181
2025-05-12 09:45:00,155.1500,155.5100,154.8900,155.4500,49035
2025-05-12 09:50:00,155.4500,155.8900,155.4000,155.6300,54177
2025-05-12 09:55:00,155.6400,155.6800,155.3500,155.4400,94209
2025-05-12 10:00:00,155.5100,155.7500,155.3100,155.5400,48584
2025-05-12 10:05:00,155.4900,155.7700,155.4400,155.7000,62977
2025-05-12 10:10:00,155.7000,156.2500,155.6200,156.0400,135627
2025-05-12 10:15:00,156.0400,156.1600,155.7300,155.8100,107740
2025-05-12 10:20:00,155.8100,155.9700,155.5900,155.8000,63920
2025-05-12 10:25:00,155.7800,155.8400,155.4000,155.5600,85921
2025-05-12 10:30:00,155.5900,155.6000,154.7400,154.8000,68478
2025-05-12 10:35:00,154.8000,155.7800,154.4100,154.7600,51455
2025-05-12 10:40:00,154.7800,155.2300,154.7100,155.2200,19820
2025-05-12 10:45:00,155.2200,155.4500,155.0600,155.4500,26610
2025-05-12 10:50:00,155.4600,155.7300,155.3000,155.6500,32658
2025-05-12 10:55:00,155.7100,155.7300,155.4000,155.4400,26979
2025-05-12 11:00:00,155.4400,155.8600,155.3800,155.8000,23931
2025-05-12 11:05:00,155.8200,155.8500,155.4200,155.4500,54694
2025-05-12 11:10:00,155.4600,155.7700,155.3900,155.6700,34899
2025-05-12 11:15:00,155.6500,155.7100,155.5200,155.6500,25007
2025-05-12 11:20:00,155.6200,155.7100,155.2100,155.4000,194918
2025-05-12 11:25:00,155.3900,155.6200,155.2300,155.6200,61801
2025-05-12 11:30:00,155.6800,156.0400,155.5800,155.7800,51284
2025-05-12 11:35:00,155.7500,155.9300,155.5900,155.6400,21854
2025-05-12 11:40:00,155.6000,155.8300,155.4600,155.7200,87162
2025-05-12 11:45:00,155.7600,155.7800,155.6100,155.6500,15203
