datetime,open,high,low,close,volume
2025-05-12 09:30:00,146.7300,146.9000,145.1100,145.1500,390173
2025-05-12 09:35:00,145.1300,145.3700,144.9000,145.1300,108646
2025-05-12 09:40:00,145.1300,145.3400,144.5600,144.8100,84220
2025-05-12 09:45:00,144.8800,145.1800,144.5100,145.0700,122630
2025-05-12 09:50:00,145.0900,145.8900,144.9500,145.5100,158963
2025-05-12 09:55:00,145.5100,145.5900,144.7100,144.8000,70336
2025-05-12 10:00:00,144.8900,145.3400,144.7000,145.2100,92713
2025-05-12 10:05:00,145.1800,145.4500,144.9200,145.0000,45136
2025-05-12 10:10:00,145.0000,145.8400,144.9800,145.7700,53823
2025-05-12 10:15:00,145.8200,146.0600,145.5400,145.5400,49267
2025-05-12 10:20:00,145.6400,145.7000,145.1700,145.3600,38822
2025-05-12 10:25:00,145.4300,145.4300,144.1900,144.4100,117970
2025-05-12 10:30:00,144.4200,144.4200,143.5800,144.0600,166658
2025-05-12 10:35:00,144.0700,144.5000,143.8800,144.4700,56555
2025-05-12 10:40:00,144.4500,145.1400,144.3900,145.1300,73453
2025-05-12 10:45:00,145.1600,145.4700,145.0900,145.4000,61024
2025-05-12 10:50:00,145.3700,145.8200,145.2500,145.7600,51965
2025-05-12 10:55:00,145.7700,145.8100,144.9400,145.0000,29605
2025-05-12 11:00:00,145.0200,145.4900,144.9200,145.4000,42768
2025-05-12 11:05:00,145.4300,145.4700,144.9700,144.9700,15421
2025-05-12 11:10:00,144.9900,145.4100,144.9300,145.1400,13579
2025-05-12 11:15:00,145.2600,145.3000,144.9400,145.1300,18788
2025-05-12 11:20:00,145.1100,145.1600,144.3800,144.6900,39155
2025-05-12 11:25:00,144.7100,145.0800,144.5400,144.8400,28999
2025-05-12 11:30:00,144.8900,145.1900,144.8400,145.0900,17026
2025-05-12 11:35:00,145.0100,145.2000,144.6300,144.7800,23268
2025-05-12 11:40:00,144.7800,144.8400,144.4200,144.6400,36005
2025-05-12 11:45:00,144.5800,144.8300,144.5400,144.7500,16348
2025-05-12 11:50:00,144.6700,144.7400,144.3100,144.5100,25724
2025-05-12 11:55:00,144.5600,144.7900,144.2900,144.3600,37103
2025-05-12 12:00:00,144.3900,144.7000,144.2500,144.6100,21722
2025-05-12 12:05:00,144.7500,145.0000,144.7500,145.0000,57840
2025-05-12 12:10:00,145.0300,145.0800,144.8200,145.0600,24186
2025-05-12 12:15:00,144.9500,145.2400,144.8700,145.0400,22919
2025-05-12 12:20:00,144.9500,145.5300,144.9200,145.5300,36903
2025-05-12 12:25:00,145.5100,145.5700,145.1300,145.1600,23613
2025-05-12 12:30:00,145.1700,145.4400,145.1700,145.4100,10445
2025-05-12 12:35:00,145.4600,145.6400,145.4600,145.5600,34778
2025-05-12 12:40:00,145.5000,145.9100,145.5000,145.8400,19861
2025-05-12 12:45:00,145.8900,146.3000,145.8200,146.1900,81917
2025-05-12 12:50:00,146.3000,146.5300,146.1300,146.4300,42015
2025-05-12 12:55:00,146.4100,146.5400,146.3000,146.4900,10374
2025-05-12 13:00:00,146.5100,146.7300,146.3900,146.6700,19218
2025-05-12 13:05:00,146.7200,147.4200,146.6000,147.2900,77209
2025-05-12 13:10:00,147.3000,147.3000,146.9000,147.0800,49043
2025-05-12 13:15:00,147.0800,147.0800,146.8500,146.8500,26376
2025-05-12 13:20:00,146.8600,146.8600,146.4400,146.5900,24219
2025-05-12 13:25:00,146.6100,146.8700,146.5000,146.6000,18005
2025-05-12 13:30:00,146.6300,146.9600,146.6200,146.7200,13219
2025-05-12 13:35:00,146.7500,146.8400,146.5500,146.8000,24973
2025-05-12 13:40:00,146.8000,146.8900,146.6900,146.7500,9836
2025-05-12 13:45:00,146.7900,147.0300,146.7900,146.8700,13435
2025-05-12 13:50:00,146.9000,147.1000,146.8400,147.0900,14326
2025-05-12 13:55:00,147.1100,147.1100,146.7300,146.7500,24744
2025-05-12 14:00:00,146.7700,147.1600,146.7700,147.1600,10777
2025-05-12 14:05:00,147.1300,147.1600,146.9300,146.9500,8467
2025-05-12 14:10:00,146.9000,146.9300,146.6300,146.7900,12286
2025-05-12 14:15:00,146.8400,147.2000,146.8200,147.1600,27542
2025-05-12 14:20:00,147.2000,147.2400,146.9800,147.0900,11794
2025-05-12 14:25:00,147.1100,147.2300,146.9300,147.0700,29268
2025-05-12 14:30:00,147.1600,147.2800,147.1600,147.1700,24858
2025-05-12 14:35:00,147.1900,147.4300,147.1000,147.3600,40966
2025-05-12 14:40:00,147.3500,147.5200,147.2200,147.2500,44234
2025-05-12 14:45:00,147.2600,147.3600,147.0900,147.1200,13325
2025-05-12 14:50:00,147.1500,147.1500,146.8000,146.8600,34734
2025-05-12 14:55:00,146.8700,147.0200,146.7700,146.7800,18514
2025-05-12 15:00:00,146.7600,147.1300,146.5100,147.1300,16320
2025-05-12 15:05:00,147.1600,147.2500,147.0900,147.2000,35122
2025-05-12 15:10:00,147.1600,147.1800,146.8700,146.9200,82667
2025-05-12 15:15:00,146.8200,147.1700,146.7300,147.0600,38916
2025-05-12 15:20:00,147.1000,147.1000,146.8400,146.8500,20628
2025-05-12 15:25:00,146.9100,146.9100,146.6000,146.7200,19784
2025-05-12 15:30:00,146.7000,146.9600,146.6300,146.8200,47079
2025-05-12 15:35:00,146.8000,146.8700,146.5300,146.6000,22771
2025-05-12 15:40:00,146.6000,146.6600,146.3500,146.4600,66822
2025-05-12 15:45:00,146.5000,146.6800,146.2800,146.6800,32569
2025-05-12 15:50:00,146.5700,147.2800,146.5700,147.2000,87142
2025-05-12 15:55:00,147.0600,147.8000,146.7700,147.7200,122458
2025-05-13 09:30:00,148.1500,148.2600,147.7000,148.1700,114508
2025-05-13 09:35:00,148.1900,148.7600,148.0500,148.6500,64644
2025-05-13 09:40:00,148.7800,149.0600,148.4700,148.8900,71493
2025-05-13 09:45:00,148.8300,148.9100,148.5800,148.6400,23295
2025-05-13 09:50:00,148.6700,149.2700,148.6500,149.1700,59068
2025-05-13 09:55:00,149.1400,149.6800,149.1200,149.5300,73543
2025-05-13 10:00:00,149.5200,149.9000,149.5000,149.8600,60155
2025-05-13 10:05:00,149.8100,150.3000,149.7200,150.2200,58374
