section,date,entry_time,exit_time,symbol,side,setup,pnl_rr,exit_reason,bars_held,quality
combined_promoted,2025-04-30,2025-04-30 10:15,2025-04-30 10:55,SQQQ,SHORT,BDR SHORT,+0.6520,time,8,4
combined_promoted,2025-05-07,2025-05-07 10:20,2025-05-07 10:45,SQQQ,SHORT,BDR SHORT,-1.1805,stop,5,4
combined_promoted,2025-05-13,2025-05-13 10:40,2025-05-13 10:55,ARM,SHORT,BDR SHORT,-1.2509,stop,3,1
combined_promoted,2025-05-15,2025-05-15 12:05,2025-05-15 13:30,SMH,LONG,2ND CHANCE,+0.4592,ema9trail,17,5
combined_promoted,2025-05-15,2025-05-15 13:00,2025-05-15 13:50,RBLX,LONG,2ND CHANCE,-0.2208,ema9trail,10,6
combined_promoted,2025-05-15,2025-05-15 13:20,2025-05-15 13:30,TECL,LONG,2ND CHANCE,-0.7688,ema9trail,2,5
combined_promoted,2025-05-16,2025-05-16 11:30,2025-05-16 12:30,UBER,LONG,2ND CHANCE,+0.3051,ema9trail,12,5
combined_promoted,2025-05-16,2025-05-16 13:15,2025-05-16 13:25,XYZ,LONG,2ND CHANCE,-0.9213,ema9trail,2,5
combined_promoted,2025-05-19,2025-05-19 10:05,2025-05-19 10:25,FNGU,LONG,2ND CHANCE,-0.9084,ema9trail,4,5
combined_promoted,2025-05-19,2025-05-19 12:25,2025-05-19 12:45,ORCL,LONG,2ND CHANCE,-1.1030,ema9trail,4,5
combined_promoted,2025-05-19,2025-05-19 12:45,2025-05-19 13:10,MSTR,LONG,2ND CHANCE,-0.7160,ema9trail,5,5
combined_promoted,2025-05-19,2025-05-19 12:50,2025-05-19 13:40,SPXL,LONG,2ND CHANCE,+0.6954,ema9trail,10,5
combined_promoted,2025-05-20,2025-05-20 13:05,2025-05-20 13:25,LCID,LONG,2ND CHANCE,-0.9944,ema9trail,4,5
combined_promoted,2025-05-21,2025-05-21 10:30,2025-05-21 11:10,NKE,SHORT,BDR SHORT,-0.7281,time,8,3
combined_promoted,2025-05-21,2025-05-21 10:40,2025-05-21 11:05,UDOW,SHORT,BDR SHORT,-1.1984,stop,5,1
combined_promoted,2025-05-21,2025-05-21 11:20,2025-05-21 12:55,AVGO,LONG,2ND CHANCE,+0.3477,ema9trail,19,5
combined_promoted,2025-05-21,2025-05-21 11:20,2025-05-21 11:25,MSTR,LONG,2ND CHANCE,-1.2010,stop,1,5
combined_promoted,2025-05-21,2025-05-21 12:30,2025-05-21 12:55,FNGU,LONG,2ND CHANCE,-1.2025,ema9trail,5,5
combined_promoted,2025-05-22,2025-05-22 10:50,2025-05-22 11:00,DKNG,SHORT,BDR SHORT,-1.2724,stop,2,3
combined_promoted,2025-05-23,2025-05-23 10:50,2025-05-23 11:30,LCID,SHORT,BDR SHORT,-0.4040,time,8,3
