section,date,entry_time,exit_time,symbol,side,setup,pnl_rr,exit_reason,bars_held,quality
mcs,2025-05-28,2025-05-28 14:35,2025-05-28 14:50,SMH,LONG,MCS,-1.8469,stop,3,4
mcs,2025-06-02,2025-06-02 14:05,2025-06-02 15:55,COST,LONG,MCS,+1.5868,eod,22,4
mcs,2025-06-02,2025-06-02 14:05,2025-06-02 15:55,WMT,LONG,MCS,+5.0989,eod,22,4
mcs,2025-06-02,2025-06-02 14:10,2025-06-02 15:05,AMZN,LONG,MCS,-1.6638,stop,11,4
mcs,2025-06-02,2025-06-02 14:10,2025-06-02 15:55,MSFT,LONG,MCS,+0.8400,eod,21,5
mcs,2025-06-02,2025-06-02 14:10,2025-06-02 15:55,SNOW,LONG,MCS,+2.1662,eod,21,4
mcs,2025-06-02,2025-06-02 14:15,2025-06-02 15:55,DASH,LONG,MCS,+0.8671,eod,20,4
mcs,2025-06-02,2025-06-02 14:15,2025-06-02 15:55,MELI,LONG,MCS,+1.4636,eod,20,4
mcs,2025-06-02,2025-06-02 14:20,2025-06-02 15:55,LABU,LONG,MCS,+1.9169,eod,19,4
mcs,2025-06-02,2025-06-02 14:20,2025-06-02 14:40,MSTR,LONG,MCS,-1.2306,stop,4,4
mcs,2025-06-02,2025-06-02 14:25,2025-06-02 15:10,PLTR,LONG,MCS,-1.1227,stop,9,4
mcs,2025-06-02,2025-06-02 14:35,2025-06-02 15:55,SOFI,LONG,MCS,+0.8044,eod,16,4
mcs,2025-06-02,2025-06-02 14:50,2025-06-02 15:10,HOOD,LONG,MCS,-1.2972,stop,4,5
mcs,2025-06-02,2025-06-02 14:50,2025-06-02 15:15,MSTR,LONG,MCS,-1.2779,stop,5,4
mcs,2025-06-02,2025-06-02 15:20,2025-06-02 15:30,MSTR,LONG,MCS,-1.2029,stop,2,5
mcs,2025-06-02,2025-06-02 15:20,2025-06-02 15:55,PANW,LONG,MCS,+0.9242,eod,7,4
mcs,2025-06-02,2025-06-02 15:20,2025-06-02 15:55,PLTR,LONG,MCS,-0.0627,eod,7,4
mcs,2025-06-02,2025-06-02 15:25,2025-06-02 15:35,BABA,LONG,MCS,-1.4468,stop,2,4
mcs,2025-06-02,2025-06-02 15:55,2025-06-02 15:55,AAPL,LONG,MCS,-0.5706,eod,0,5
mcs,2025-06-02,2025-06-02 15:55,2025-06-02 15:55,AVGO,LONG,MCS,-0.3204,eod,0,5
