section,date,entry_time,exit_time,symbol,side,setup,pnl_rr,exit_reason,bars_held,quality
spencer_both,2025-05-15,2025-05-15 13:10,2025-05-15 14:50,NIO,SHORT,SPENCER,-1.0461,time,20,4
spencer_both,2025-05-20,2025-05-20 13:05,2025-05-20 13:35,AFRM,SHORT,SPENCER,-0.6207,ema9trail,6,4
spencer_both,2025-05-27,2025-05-27 12:20,2025-05-27 12:30,TECL,LONG,SPENCER,-0.7557,ema9trail,2,4
spencer_both,2025-05-27,2025-05-27 12:35,2025-05-27 14:15,TQQQ,LONG,SPENCER,+0.0043,time,20,4
spencer_both,2025-05-27,2025-05-27 12:35,2025-05-27 13:05,UDOW,LONG,SPENCER,-0.6539,ema9trail,6,4
spencer_both,2025-06-09,2025-06-09 13:15,2025-06-09 14:25,KWEB,LONG,SPENCER,-0.1933,ema9trail,14,4
spencer_both,2025-06-09,2025-06-09 14:30,2025-06-09 14:55,NIO,SHORT,SPENCER,-2.2990,ema9trail,5,4
spencer_both,2025-06-10,2025-06-10 14:20,2025-06-10 15:25,NIO,LONG,SPENCER,-1.3817,ema9trail,13,4
spencer_both,2025-06-24,2025-06-24 14:25,2025-06-24 14:50,NAIL,LONG,SPENCER,-0.1710,ema9trail,5,4
spencer_both,2025-07-17,2025-07-17 13:45,2025-07-17 15:20,PYPL,LONG,SPENCER,+0.6854,ema9trail,19,4
spencer_both,2025-07-17,2025-07-17 14:15,2025-07-17 15:15,UDOW,LONG,SPENCER,+0.2198,ema9trail,12,4
spencer_both,2025-07-21,2025-07-21 13:45,2025-07-21 14:10,FNGU,LONG,SPENCER,-1.9497,stop,5,4
spencer_both,2025-08-05,2025-08-05 13:40,2025-08-05 14:25,SLB,LONG,SPENCER,-0.4119,ema9trail,9,4
spencer_both,2025-08-12,2025-08-12 14:00,2025-08-12 14:45,CRSP,LONG,SPENCER,-0.0237,ema9trail,9,4
spencer_both,2025-08-15,2025-08-15 12:35,2025-08-15 13:40,MRNA,LONG,SPENCER,-0.0198,ema9trail,13,5
spencer_both,2025-08-18,2025-08-18 13:05,2025-08-18 13:35,ADBE,LONG,SPENCER,-0.5490,ema9trail,6,4
spencer_both,2025-08-19,2025-08-19 12:40,2025-08-19 13:25,SOFI,SHORT,SPENCER,-0.1348,ema9trail,9,4
spencer_both,2025-08-21,2025-08-21 14:10,2025-08-21 14:25,HAL,LONG,SPENCER,-1.4022,ema9trail,3,4
spencer_both,2025-08-27,2025-08-27 13:40,2025-08-27 14:40,TECL,LONG,SPENCER,+0.4470,ema9trail,12,4
spencer_both,2025-08-27,2025-08-27 14:10,2025-08-27 14:40,FNGU,LONG,SPENCER,-0.7188,ema9trail,6,4
spencer_both,2025-08-27,2025-08-27 14:10,2025-08-27 14:45,WEBL,LONG,SPENCER,-0.9429,ema9trail,7,4
spencer_both,2025-09-09,2025-09-09 14:10,2025-09-09 14:55,BAC,LONG,SPENCER,-0.2220,ema9trail,9,4
spencer_both,2025-09-16,2025-09-16 11:10,2025-09-16 12:50,OXY,LONG,SPENCER,+1.0543,time,20,4
spencer_both,2025-09-29,2025-09-29 11:35,2025-09-29 12:10,LABD,SHORT,SPENCER,-0.2343,ema9trail,7,4
spencer_both,2025-10-23,2025-10-23 13:00,2025-10-23 13:10,NU,LONG,SPENCER,-1.1040,ema9trail,2,4
spencer_both,2025-10-30,2025-10-30 14:05,2025-10-30 14:15,INTC,LONG,SPENCER,-1.3751,stop,2,4
spencer_both,2025-11-03,2025-11-03 12:25,2025-11-03 12:55,LCID,SHORT,SPENCER,-0.8026,ema9trail,6,4
